AbsHour,Day,Positions,AssignedNurses,Week,HourOfDay,HourOfWeek
10,1,blue,4,1,10,10
10,1,first nurse,1,1,10,10
10,1,green,4,1,10,10
10,1,hallway,2,1,10,10
10,1,iTrack,0,1,10,10
10,1,orange,5,1,10,10
10,1,purple,3,1,10,10
10,1,red,0,1,10,10
10,1,resource nurse,1,1,10,10
10,1,triage nurse,1,1,10,10
11,1,CNL,1,1,11,11
11,1,EDOU,2,1,11,11
11,1,FEP,1,1,11,11
11,1,blue,4,1,11,11
11,1,first nurse,1,1,11,11
11,1,green,4,1,11,11
11,1,hallway,2,1,11,11
11,1,iTrack,0,1,11,11
11,1,orange,5,1,11,11
11,1,purple,3,1,11,11
11,1,red,0,1,11,11
11,1,resource nurse,1,1,11,11
11,1,triage nurse,1,1,11,11
12,1,CNL,1,1,12,12
12,1,EDOU,2,1,12,12
12,1,FEP,1,1,12,12
12,1,blue,4,1,12,12
12,1,first nurse,1,1,12,12
12,1,green,4,1,12,12
12,1,hallway,2,1,12,12
12,1,iTrack,0,1,12,12
12,1,orange,5,1,12,12
12,1,purple,3,1,12,12
12,1,red,0,1,12,12
12,1,resource nurse,1,1,12,12
12,1,triage nurse,1,1,12,12
13,1,CNL,1,1,13,13
13,1,EDOU,2,1,13,13
13,1,FEP,1,1,13,13
13,1,blue,4,1,13,13
13,1,first nurse,1,1,13,13
13,1,green,4,1,13,13
13,1,hallway,2,1,13,13
13,1,iTrack,0,1,13,13
13,1,orange,5,1,13,13
13,1,purple,3,1,13,13
13,1,red,0,1,13,13
13,1,resource nurse,1,1,13,13
13,1,triage nurse,1,1,13,13
14,1,CNL,1,1,14,14
14,1,EDOU,3,1,14,14
14,1,FEP,1,1,14,14
14,1,blue,0,1,14,14
14,1,first nurse,1,1,14,14
14,1,green,4,1,14,14
14,1,hallway,5,1,14,14
14,1,iTrack,0,1,14,14
14,1,orange,5,1,14,14
14,1,purple,3,1,14,14
14,1,red,4,1,14,14
14,1,resource nurse,1,1,14,14
14,1,triage nurse,1,1,14,14
15,1,CNL,1,1,15,15
15,1,EDOU,3,1,15,15
15,1,FEP,1,1,15,15
15,1,blue,0,1,15,15
15,1,first nurse,1,1,15,15
15,1,green,4,1,15,15
15,1,hallway,5,1,15,15
15,1,iTrack,0,1,15,15
15,1,orange,5,1,15,15
15,1,purple,3,1,15,15
15,1,red,4,1,15,15
15,1,resource nurse,1,1,15,15
15,1,triage nurse,1,1,15,15
16,1,CNL,1,1,16,16
16,1,EDOU,3,1,16,16
16,1,FEP,1,1,16,16
16,1,blue,0,1,16,16
16,1,first nurse,1,1,16,16
16,1,green,4,1,16,16
16,1,hallway,5,1,16,16
16,1,iTrack,0,1,16,16
16,1,orange,5,1,16,16
16,1,purple,3,1,16,16
16,1,red,4,1,16,16
16,1,resource nurse,1,1,16,16
16,1,triage nurse,1,1,16,16
17,1,CNL,1,1,17,17
17,1,EDOU,3,1,17,17
17,1,FEP,1,1,17,17
17,1,blue,0,1,17,17
17,1,first nurse,1,1,17,17
17,1,green,4,1,17,17
17,1,hallway,5,1,17,17
17,1,iTrack,0,1,17,17
17,1,orange,5,1,17,17
17,1,purple,3,1,17,17
17,1,red,4,1,17,17
17,1,resource nurse,1,1,17,17
17,1,triage nurse,1,1,17,17
18,1,CNL,1,1,18,18
18,1,EDOU,3,1,18,18
18,1,FEP,1,1,18,18
18,1,blue,0,1,18,18
18,1,first nurse,1,1,18,18
18,1,green,4,1,18,18
18,1,hallway,5,1,18,18
18,1,iTrack,0,1,18,18
18,1,orange,5,1,18,18
18,1,purple,3,1,18,18
18,1,red,4,1,18,18
18,1,resource nurse,1,1,18,18
18,1,triage nurse,1,1,18,18
19,1,CNL,1,1,19,19
19,1,EDOU,3,1,19,19
19,1,FEP,1,1,19,19
19,1,blue,0,1,19,19
19,1,first nurse,1,1,19,19
19,1,green,4,1,19,19
19,1,hallway,5,1,19,19
19,1,iTrack,0,1,19,19
19,1,orange,5,1,19,19
19,1,purple,3,1,19,19
19,1,red,4,1,19,19
19,1,resource nurse,1,1,19,19
19,1,triage nurse,1,1,19,19
20,1,CNL,1,1,20,20
20,1,EDOU,3,1,20,20
20,1,FEP,1,1,20,20
20,1,blue,0,1,20,20
20,1,first nurse,1,1,20,20
20,1,green,4,1,20,20
20,1,hallway,5,1,20,20
20,1,iTrack,0,1,20,20
20,1,orange,5,1,20,20
20,1,purple,3,1,20,20
20,1,red,4,1,20,20
20,1,resource nurse,1,1,20,20
20,1,triage nurse,1,1,20,20
21,1,CNL,1,1,21,21
21,1,EDOU,3,1,21,21
21,1,FEP,1,1,21,21
21,1,blue,0,1,21,21
21,1,first nurse,1,1,21,21
21,1,green,4,1,21,21
21,1,hallway,5,1,21,21
21,1,iTrack,0,1,21,21
21,1,orange,5,1,21,21
21,1,purple,3,1,21,21
21,1,red,4,1,21,21
21,1,resource nurse,1,1,21,21
21,1,triage nurse,1,1,21,21
22,1,CNL,1,1,22,22
22,1,EDOU,3,1,22,22
22,1,FEP,1,1,22,22
22,1,blue,0,1,22,22
22,1,first nurse,1,1,22,22
22,1,green,4,1,22,22
22,1,hallway,5,1,22,22
22,1,iTrack,0,1,22,22
22,1,orange,5,1,22,22
22,1,purple,3,1,22,22
22,1,red,4,1,22,22
22,1,resource nurse,1,1,22,22
22,1,triage nurse,1,1,22,22
23,1,CNL,1,1,23,23
23,1,EDOU,3,1,23,23
23,1,FEP,1,1,23,23
23,1,blue,0,1,23,23
23,1,first nurse,1,1,23,23
23,1,green,4,1,23,23
23,1,hallway,5,1,23,23
23,1,iTrack,0,1,23,23
23,1,orange,5,1,23,23
23,1,purple,3,1,23,23
23,1,red,4,1,23,23
23,1,resource nurse,1,1,23,23
23,1,triage nurse,1,1,23,23
24,1,CNL,1,1,24,24
24,1,EDOU,3,1,24,24
24,1,FEP,1,1,24,24
24,1,blue,0,1,24,24
24,1,first nurse,1,1,24,24
24,1,green,4,1,24,24
24,1,hallway,5,1,24,24
24,1,iTrack,0,1,24,24
24,1,orange,5,1,24,24
24,1,purple,3,1,24,24
24,1,red,4,1,24,24
24,1,resource nurse,1,1,24,24
24,1,triage nurse,1,1,24,24
25,1,CNL,1,1,1,25
25,1,EDOU,3,1,1,25
25,1,FEP,1,1,1,25
25,1,blue,0,1,1,25
25,1,first nurse,1,1,1,25
25,1,green,4,1,1,25
25,1,hallway,5,1,1,25
25,1,iTrack,0,1,1,25
25,1,orange,5,1,1,25
25,1,purple,3,1,1,25
25,1,red,4,1,1,25
25,1,resource nurse,1,1,1,25
25,1,triage nurse,1,1,1,25
26,2,CNL,1,1,2,26
26,2,EDOU,2,1,2,26
26,2,FEP,1,1,2,26
26,2,blue,0,1,2,26
26,2,first nurse,1,1,2,26
26,2,green,4,1,2,26
26,2,hallway,5,1,2,26
26,2,iTrack,0,1,2,26
26,2,orange,4,1,2,26
26,2,purple,3,1,2,26
26,2,red,3,1,2,26
26,2,resource nurse,1,1,2,26
26,2,triage nurse,1,1,2,26
27,2,CNL,1,1,3,27
27,2,EDOU,2,1,3,27
27,2,FEP,1,1,3,27
27,2,blue,0,1,3,27
27,2,first nurse,1,1,3,27
27,2,green,4,1,3,27
27,2,hallway,5,1,3,27
27,2,iTrack,0,1,3,27
27,2,orange,4,1,3,27
27,2,purple,3,1,3,27
27,2,red,3,1,3,27
27,2,resource nurse,1,1,3,27
27,2,triage nurse,1,1,3,27
28,2,CNL,1,1,4,28
28,2,EDOU,2,1,4,28
28,2,FEP,1,1,4,28
28,2,blue,0,1,4,28
28,2,first nurse,1,1,4,28
28,2,green,4,1,4,28
28,2,hallway,5,1,4,28
28,2,iTrack,0,1,4,28
28,2,orange,4,1,4,28
28,2,purple,3,1,4,28
28,2,red,3,1,4,28
28,2,resource nurse,1,1,4,28
28,2,triage nurse,1,1,4,28
29,2,CNL,1,1,5,29
29,2,EDOU,2,1,5,29
29,2,FEP,1,1,5,29
29,2,blue,0,1,5,29
29,2,first nurse,1,1,5,29
29,2,green,4,1,5,29
29,2,hallway,5,1,5,29
29,2,iTrack,0,1,5,29
29,2,orange,4,1,5,29
29,2,purple,3,1,5,29
29,2,red,3,1,5,29
29,2,resource nurse,1,1,5,29
29,2,triage nurse,1,1,5,29
30,2,CNL,1,1,6,30
30,2,EDOU,2,1,6,30
30,2,FEP,1,1,6,30
30,2,blue,0,1,6,30
30,2,first nurse,1,1,6,30
30,2,green,4,1,6,30
30,2,hallway,5,1,6,30
30,2,iTrack,0,1,6,30
30,2,orange,4,1,6,30
30,2,purple,3,1,6,30
30,2,red,3,1,6,30
30,2,resource nurse,1,1,6,30
30,2,triage nurse,1,1,6,30
31,2,CNL,1,1,7,31
31,2,EDOU,2,1,7,31
31,2,FEP,1,1,7,31
31,2,blue,0,1,7,31
31,2,first nurse,1,1,7,31
31,2,green,4,1,7,31
31,2,hallway,5,1,7,31
31,2,iTrack,0,1,7,31
31,2,orange,4,1,7,31
31,2,purple,3,1,7,31
31,2,red,3,1,7,31
31,2,resource nurse,1,1,7,31
31,2,triage nurse,1,1,7,31
32,2,CNL,1,1,8,32
32,2,EDOU,2,1,8,32
32,2,FEP,1,1,8,32
32,2,blue,0,1,8,32
32,2,first nurse,1,1,8,32
32,2,green,4,1,8,32
32,2,hallway,5,1,8,32
32,2,iTrack,0,1,8,32
32,2,orange,4,1,8,32
32,2,purple,3,1,8,32
32,2,red,3,1,8,32
32,2,resource nurse,1,1,8,32
32,2,triage nurse,1,1,8,32
33,2,CNL,1,1,9,33
33,2,EDOU,2,1,9,33
33,2,FEP,1,1,9,33
33,2,blue,0,1,9,33
33,2,first nurse,1,1,9,33
33,2,green,4,1,9,33
33,2,hallway,5,1,9,33
33,2,iTrack,0,1,9,33
33,2,orange,4,1,9,33
33,2,purple,3,1,9,33
33,2,red,3,1,9,33
33,2,resource nurse,1,1,9,33
33,2,triage nurse,1,1,9,33
34,2,CNL,1,1,10,34
34,2,EDOU,2,1,10,34
34,2,FEP,1,1,10,34
34,2,blue,0,1,10,34
34,2,first nurse,1,1,10,34
34,2,green,4,1,10,34
34,2,hallway,5,1,10,34
34,2,iTrack,0,1,10,34
34,2,orange,4,1,10,34
34,2,purple,3,1,10,34
34,2,red,3,1,10,34
34,2,resource nurse,1,1,10,34
34,2,triage nurse,1,1,10,34
35,2,CNL,1,1,11,35
35,2,EDOU,2,1,11,35
35,2,FEP,1,1,11,35
35,2,blue,0,1,11,35
35,2,first nurse,1,1,11,35
35,2,green,4,1,11,35
35,2,hallway,5,1,11,35
35,2,iTrack,0,1,11,35
35,2,orange,4,1,11,35
35,2,purple,3,1,11,35
35,2,red,3,1,11,35
35,2,resource nurse,1,1,11,35
35,2,triage nurse,1,1,11,35
36,2,CNL,1,1,12,36
36,2,EDOU,2,1,12,36
36,2,FEP,1,1,12,36
36,2,blue,0,1,12,36
36,2,first nurse,1,1,12,36
36,2,green,4,1,12,36
36,2,hallway,5,1,12,36
36,2,iTrack,0,1,12,36
36,2,orange,4,1,12,36
36,2,purple,3,1,12,36
36,2,red,3,1,12,36
36,2,resource nurse,1,1,12,36
36,2,triage nurse,1,1,12,36
37,2,CNL,1,1,13,37
37,2,EDOU,2,1,13,37
37,2,FEP,1,1,13,37
37,2,blue,0,1,13,37
37,2,first nurse,1,1,13,37
37,2,green,4,1,13,37
37,2,hallway,5,1,13,37
37,2,iTrack,0,1,13,37
37,2,orange,4,1,13,37
37,2,purple,3,1,13,37
37,2,red,3,1,13,37
37,2,resource nurse,1,1,13,37
37,2,triage nurse,1,1,13,37
38,2,CNL,1,1,14,38
38,2,EDOU,2,1,14,38
38,2,FEP,1,1,14,38
38,2,blue,5,1,14,38
38,2,first nurse,1,1,14,38
38,2,green,5,1,14,38
38,2,hallway,0,1,14,38
38,2,iTrack,0,1,14,38
38,2,orange,5,1,14,38
38,2,purple,3,1,14,38
38,2,red,3,1,14,38
38,2,resource nurse,1,1,14,38
38,2,triage nurse,1,1,14,38
39,2,CNL,1,1,15,39
39,2,EDOU,2,1,15,39
39,2,FEP,1,1,15,39
39,2,blue,5,1,15,39
39,2,first nurse,1,1,15,39
39,2,green,5,1,15,39
39,2,hallway,0,1,15,39
39,2,iTrack,0,1,15,39
39,2,orange,5,1,15,39
39,2,purple,3,1,15,39
39,2,red,3,1,15,39
39,2,resource nurse,1,1,15,39
39,2,triage nurse,1,1,15,39
40,2,CNL,1,1,16,40
40,2,EDOU,2,1,16,40
40,2,FEP,1,1,16,40
40,2,blue,5,1,16,40
40,2,first nurse,1,1,16,40
40,2,green,5,1,16,40
40,2,hallway,0,1,16,40
40,2,iTrack,0,1,16,40
40,2,orange,5,1,16,40
40,2,purple,3,1,16,40
40,2,red,3,1,16,40
40,2,resource nurse,1,1,16,40
40,2,triage nurse,1,1,16,40
41,2,CNL,1,1,17,41
41,2,EDOU,2,1,17,41
41,2,FEP,1,1,17,41
41,2,blue,5,1,17,41
41,2,first nurse,1,1,17,41
41,2,green,5,1,17,41
41,2,hallway,0,1,17,41
41,2,iTrack,0,1,17,41
41,2,orange,5,1,17,41
41,2,purple,3,1,17,41
41,2,red,3,1,17,41
41,2,resource nurse,1,1,17,41
41,2,triage nurse,1,1,17,41
42,2,CNL,1,1,18,42
42,2,EDOU,2,1,18,42
42,2,FEP,1,1,18,42
42,2,blue,5,1,18,42
42,2,first nurse,1,1,18,42
42,2,green,5,1,18,42
42,2,hallway,0,1,18,42
42,2,iTrack,0,1,18,42
42,2,orange,5,1,18,42
42,2,purple,3,1,18,42
42,2,red,3,1,18,42
42,2,resource nurse,1,1,18,42
42,2,triage nurse,1,1,18,42
43,2,CNL,1,1,19,43
43,2,EDOU,2,1,19,43
43,2,FEP,1,1,19,43
43,2,blue,5,1,19,43
43,2,first nurse,1,1,19,43
43,2,green,5,1,19,43
43,2,hallway,0,1,19,43
43,2,iTrack,0,1,19,43
43,2,orange,5,1,19,43
43,2,purple,3,1,19,43
43,2,red,3,1,19,43
43,2,resource nurse,1,1,19,43
43,2,triage nurse,1,1,19,43
44,2,CNL,1,1,20,44
44,2,EDOU,2,1,20,44
44,2,FEP,1,1,20,44
44,2,blue,5,1,20,44
44,2,first nurse,1,1,20,44
44,2,green,5,1,20,44
44,2,hallway,0,1,20,44
44,2,iTrack,0,1,20,44
44,2,orange,5,1,20,44
44,2,purple,3,1,20,44
44,2,red,3,1,20,44
44,2,resource nurse,1,1,20,44
44,2,triage nurse,1,1,20,44
45,2,CNL,1,1,21,45
45,2,EDOU,2,1,21,45
45,2,FEP,1,1,21,45
45,2,blue,5,1,21,45
45,2,first nurse,1,1,21,45
45,2,green,5,1,21,45
45,2,hallway,0,1,21,45
45,2,iTrack,0,1,21,45
45,2,orange,5,1,21,45
45,2,purple,3,1,21,45
45,2,red,3,1,21,45
45,2,resource nurse,1,1,21,45
45,2,triage nurse,1,1,21,45
46,2,CNL,1,1,22,46
46,2,EDOU,2,1,22,46
46,2,FEP,1,1,22,46
46,2,blue,5,1,22,46
46,2,first nurse,1,1,22,46
46,2,green,5,1,22,46
46,2,hallway,0,1,22,46
46,2,iTrack,0,1,22,46
46,2,orange,5,1,22,46
46,2,purple,3,1,22,46
46,2,red,3,1,22,46
46,2,resource nurse,1,1,22,46
46,2,triage nurse,1,1,22,46
47,2,CNL,1,1,23,47
47,2,EDOU,2,1,23,47
47,2,FEP,1,1,23,47
47,2,blue,5,1,23,47
47,2,first nurse,1,1,23,47
47,2,green,5,1,23,47
47,2,hallway,0,1,23,47
47,2,iTrack,0,1,23,47
47,2,orange,5,1,23,47
47,2,purple,3,1,23,47
47,2,red,3,1,23,47
47,2,resource nurse,1,1,23,47
47,2,triage nurse,1,1,23,47
48,2,CNL,1,1,24,48
48,2,EDOU,2,1,24,48
48,2,FEP,1,1,24,48
48,2,blue,5,1,24,48
48,2,first nurse,1,1,24,48
48,2,green,5,1,24,48
48,2,hallway,0,1,24,48
48,2,iTrack,0,1,24,48
48,2,orange,5,1,24,48
48,2,purple,3,1,24,48
48,2,red,3,1,24,48
48,2,resource nurse,1,1,24,48
48,2,triage nurse,1,1,24,48
49,2,CNL,1,1,1,49
49,2,EDOU,2,1,1,49
49,2,FEP,1,1,1,49
49,2,blue,5,1,1,49
49,2,first nurse,1,1,1,49
49,2,green,5,1,1,49
49,2,hallway,0,1,1,49
49,2,iTrack,0,1,1,49
49,2,orange,5,1,1,49
49,2,purple,3,1,1,49
49,2,red,3,1,1,49
49,2,resource nurse,1,1,1,49
49,2,triage nurse,1,1,1,49
50,3,CNL,1,1,2,50
50,3,EDOU,2,1,2,50
50,3,FEP,1,1,2,50
50,3,blue,5,1,2,50
50,3,first nurse,1,1,2,50
50,3,green,0,1,2,50
50,3,hallway,5,1,2,50
50,3,iTrack,0,1,2,50
50,3,orange,4,1,2,50
50,3,purple,3,1,2,50
50,3,red,0,1,2,50
50,3,resource nurse,1,1,2,50
50,3,triage nurse,1,1,2,50
51,3,CNL,1,1,3,51
51,3,EDOU,2,1,3,51
51,3,FEP,1,1,3,51
51,3,blue,5,1,3,51
51,3,first nurse,1,1,3,51
51,3,green,0,1,3,51
51,3,hallway,5,1,3,51
51,3,iTrack,0,1,3,51
51,3,orange,4,1,3,51
51,3,purple,3,1,3,51
51,3,red,0,1,3,51
51,3,resource nurse,1,1,3,51
51,3,triage nurse,1,1,3,51
52,3,CNL,1,1,4,52
52,3,EDOU,2,1,4,52
52,3,FEP,1,1,4,52
52,3,blue,5,1,4,52
52,3,first nurse,1,1,4,52
52,3,green,0,1,4,52
52,3,hallway,5,1,4,52
52,3,iTrack,0,1,4,52
52,3,orange,4,1,4,52
52,3,purple,3,1,4,52
52,3,red,0,1,4,52
52,3,resource nurse,1,1,4,52
52,3,triage nurse,1,1,4,52
53,3,CNL,1,1,5,53
53,3,EDOU,2,1,5,53
53,3,FEP,1,1,5,53
53,3,blue,5,1,5,53
53,3,first nurse,1,1,5,53
53,3,green,0,1,5,53
53,3,hallway,5,1,5,53
53,3,iTrack,0,1,5,53
53,3,orange,4,1,5,53
53,3,purple,3,1,5,53
53,3,red,0,1,5,53
53,3,resource nurse,1,1,5,53
53,3,triage nurse,1,1,5,53
54,3,CNL,1,1,6,54
54,3,EDOU,2,1,6,54
54,3,FEP,1,1,6,54
54,3,blue,5,1,6,54
54,3,first nurse,1,1,6,54
54,3,green,2,1,6,54
54,3,hallway,5,1,6,54
54,3,iTrack,0,1,6,54
54,3,orange,4,1,6,54
54,3,purple,3,1,6,54
54,3,red,0,1,6,54
54,3,resource nurse,1,1,6,54
54,3,triage nurse,1,1,6,54
55,3,CNL,1,1,7,55
55,3,EDOU,2,1,7,55
55,3,FEP,1,1,7,55
55,3,blue,5,1,7,55
55,3,first nurse,1,1,7,55
55,3,green,2,1,7,55
55,3,hallway,5,1,7,55
55,3,iTrack,0,1,7,55
55,3,orange,4,1,7,55
55,3,purple,3,1,7,55
55,3,red,0,1,7,55
55,3,resource nurse,1,1,7,55
55,3,triage nurse,1,1,7,55
56,3,CNL,1,1,8,56
56,3,EDOU,2,1,8,56
56,3,FEP,1,1,8,56
56,3,blue,5,1,8,56
56,3,first nurse,1,1,8,56
56,3,green,2,1,8,56
56,3,hallway,5,1,8,56
56,3,iTrack,0,1,8,56
56,3,orange,4,1,8,56
56,3,purple,3,1,8,56
56,3,red,0,1,8,56
56,3,resource nurse,1,1,8,56
56,3,triage nurse,1,1,8,56
57,3,CNL,1,1,9,57
57,3,EDOU,2,1,9,57
57,3,FEP,1,1,9,57
57,3,blue,5,1,9,57
57,3,first nurse,1,1,9,57
57,3,green,2,1,9,57
57,3,hallway,5,1,9,57
57,3,iTrack,0,1,9,57
57,3,orange,4,1,9,57
57,3,purple,3,1,9,57
57,3,red,0,1,9,57
57,3,resource nurse,1,1,9,57
57,3,triage nurse,1,1,9,57
58,3,CNL,1,1,10,58
58,3,EDOU,2,1,10,58
58,3,FEP,1,1,10,58
58,3,blue,5,1,10,58
58,3,first nurse,1,1,10,58
58,3,green,2,1,10,58
58,3,hallway,5,1,10,58
58,3,iTrack,0,1,10,58
58,3,orange,4,1,10,58
58,3,purple,3,1,10,58
58,3,red,0,1,10,58
58,3,resource nurse,1,1,10,58
58,3,triage nurse,1,1,10,58
59,3,CNL,1,1,11,59
59,3,EDOU,2,1,11,59
59,3,FEP,1,1,11,59
59,3,blue,5,1,11,59
59,3,first nurse,1,1,11,59
59,3,green,2,1,11,59
59,3,hallway,5,1,11,59
59,3,iTrack,0,1,11,59
59,3,orange,4,1,11,59
59,3,purple,3,1,11,59
59,3,red,0,1,11,59
59,3,resource nurse,1,1,11,59
59,3,triage nurse,1,1,11,59
60,3,CNL,1,1,12,60
60,3,EDOU,2,1,12,60
60,3,FEP,1,1,12,60
60,3,blue,5,1,12,60
60,3,first nurse,1,1,12,60
60,3,green,2,1,12,60
60,3,hallway,5,1,12,60
60,3,iTrack,0,1,12,60
60,3,orange,4,1,12,60
60,3,purple,3,1,12,60
60,3,red,0,1,12,60
60,3,resource nurse,1,1,12,60
60,3,triage nurse,1,1,12,60
61,3,CNL,1,1,13,61
61,3,EDOU,2,1,13,61
61,3,FEP,1,1,13,61
61,3,blue,5,1,13,61
61,3,first nurse,1,1,13,61
61,3,green,2,1,13,61
61,3,hallway,5,1,13,61
61,3,iTrack,0,1,13,61
61,3,orange,4,1,13,61
61,3,purple,3,1,13,61
61,3,red,0,1,13,61
61,3,resource nurse,1,1,13,61
61,3,triage nurse,1,1,13,61
62,3,CNL,1,1,14,62
62,3,EDOU,2,1,14,62
62,3,FEP,1,1,14,62
62,3,blue,3,1,14,62
62,3,first nurse,1,1,14,62
62,3,green,4,1,14,62
62,3,hallway,5,1,14,62
62,3,iTrack,0,1,14,62
62,3,orange,5,1,14,62
62,3,purple,3,1,14,62
62,3,red,4,1,14,62
62,3,resource nurse,1,1,14,62
62,3,triage nurse,1,1,14,62
63,3,CNL,1,1,15,63
63,3,EDOU,2,1,15,63
63,3,FEP,1,1,15,63
63,3,blue,3,1,15,63
63,3,first nurse,1,1,15,63
63,3,green,4,1,15,63
63,3,hallway,5,1,15,63
63,3,iTrack,0,1,15,63
63,3,orange,5,1,15,63
63,3,purple,3,1,15,63
63,3,red,4,1,15,63
63,3,resource nurse,1,1,15,63
63,3,triage nurse,1,1,15,63
64,3,CNL,1,1,16,64
64,3,EDOU,2,1,16,64
64,3,FEP,1,1,16,64
64,3,blue,3,1,16,64
64,3,first nurse,1,1,16,64
64,3,green,4,1,16,64
64,3,hallway,5,1,16,64
64,3,iTrack,0,1,16,64
64,3,orange,5,1,16,64
64,3,purple,3,1,16,64
64,3,red,4,1,16,64
64,3,resource nurse,1,1,16,64
64,3,triage nurse,1,1,16,64
65,3,CNL,1,1,17,65
65,3,EDOU,2,1,17,65
65,3,FEP,1,1,17,65
65,3,blue,3,1,17,65
65,3,first nurse,1,1,17,65
65,3,green,4,1,17,65
65,3,hallway,5,1,17,65
65,3,iTrack,0,1,17,65
65,3,orange,5,1,17,65
65,3,purple,3,1,17,65
65,3,red,4,1,17,65
65,3,resource nurse,1,1,17,65
65,3,triage nurse,1,1,17,65
66,3,CNL,1,1,18,66
66,3,EDOU,2,1,18,66
66,3,FEP,1,1,18,66
66,3,blue,3,1,18,66
66,3,first nurse,1,1,18,66
66,3,green,2,1,18,66
66,3,hallway,5,1,18,66
66,3,iTrack,0,1,18,66
66,3,orange,5,1,18,66
66,3,purple,3,1,18,66
66,3,red,4,1,18,66
66,3,resource nurse,1,1,18,66
66,3,triage nurse,1,1,18,66
67,3,CNL,1,1,19,67
67,3,EDOU,2,1,19,67
67,3,FEP,1,1,19,67
67,3,blue,3,1,19,67
67,3,first nurse,1,1,19,67
67,3,green,2,1,19,67
67,3,hallway,5,1,19,67
67,3,iTrack,0,1,19,67
67,3,orange,5,1,19,67
67,3,purple,3,1,19,67
67,3,red,4,1,19,67
67,3,resource nurse,1,1,19,67
67,3,triage nurse,1,1,19,67
68,3,CNL,1,1,20,68
68,3,EDOU,2,1,20,68
68,3,FEP,1,1,20,68
68,3,blue,3,1,20,68
68,3,first nurse,1,1,20,68
68,3,green,2,1,20,68
68,3,hallway,5,1,20,68
68,3,iTrack,0,1,20,68
68,3,orange,5,1,20,68
68,3,purple,3,1,20,68
68,3,red,4,1,20,68
68,3,resource nurse,1,1,20,68
