Absolute Hour,Week,Hour (Day),Hour (Week),Nurses Red Pod,Nurses Purple,Nurses iTrack,Nurses Blue Pod,Nurses Green Pod,Nurses Orange Pod,Nurses Hallway,Nurses EDOU,Nurses Floating
50,1,2,50,1,2,1,2,2,4,2,1,12
51,1,3,51,2,3,1,3,2,3,2,1,13
52,1,4,52,2,3,1,3,3,2,1,2,12
53,1,5,53,0,3,1,2,2,2,3,1,10
54,1,6,54,2,2,1,2,3,2,3,1,13
55,1,7,55,0,2,1,3,2,2,2,1,10
56,1,8,56,2,3,1,3,2,2,2,1,12
57,1,9,57,0,2,2,3,3,3,2,2,13
58,1,10,58,1,3,1,3,4,2,3,1,14
59,1,11,59,2,2,2,3,3,3,2,2,15
60,1,12,60,2,2,1,4,4,4,2,2,17
61,1,13,61,2,3,2,5,3,3,4,1,19
62,1,14,62,2,2,2,3,2,4,4,1,17
63,1,15,63,2,2,1,5,5,3,4,1,20
64,1,16,64,2,3,2,3,3,3,4,1,17
65,1,17,65,1,3,2,3,5,2,4,2,17
66,1,18,66,1,3,1,4,4,3,3,1,16
67,1,19,67,2,3,2,3,3,5,2,1,17
68,1,20,68,2,2,1,2,3,3,4,1,15
69,1,21,69,1,3,1,3,3,4,4,2,16
70,1,22,70,1,3,1,4,2,3,3,1,14
71,1,23,71,2,3,2,3,3,1,3,2,14
72,1,24,72,0,2,2,2,3,3,3,2,13
73,1,1,73,2,3,1,1,3,3,3,1,13
74,1,2,74,2,3,1,2,2,3,2,2,12
75,1,3,75,1,3,1,3,3,2,2,1,12
76,1,4,76,1,3,1,2,3,3,1,1,11
77,1,5,77,1,2,1,3,2,3,2,1,12
78,1,6,78,1,3,1,2,3,2,1,2,10
79,1,7,79,2,2,1,2,3,2,2,1,12
80,1,8,80,1,3,1,3,2,2,4,2,13
81,1,9,81,1,3,1,3,3,2,3,1,13
82,1,10,82,2,3,1,2,2,3,4,2,14
83,1,11,83,2,3,2,3,4,4,2,1,17
84,1,12,84,2,3,1,4,4,3,3,1,17
85,1,13,85,2,3,1,3,4,3,4,1,17
86,1,14,86,2,2,2,4,3,2,3,2,16
87,1,15,87,1,3,2,4,2,3,4,1,16
88,1,16,88,2,3,2,4,3,3,3,2,17
89,1,17,89,2,1,2,4,3,5,3,1,19
90,1,18,90,1,3,2,4,4,3,2,1,16
91,1,19,91,2,2,2,4,3,2,4,2,17
92,1,20,92,1,2,2,3,3,3,4,2,16
93,1,21,93,2,3,1,2,4,4,3,1,16
94,1,22,94,1,3,1,4,2,4,3,1,15
95,1,23,95,2,3,2,2,3,2,2,2,13
96,1,24,96,1,3,1,3,3,2,2,1,12
97,1,1,97,2,3,1,2,2,3,2,1,12
98,1,2,98,1,3,1,1,2,2,3,1,10
99,1,3,99,0,2,2,2,2,2,3,2,11
100,1,4,100,2,2,1,2,3,2,2,1,12
101,1,5,101,2,2,1,3,3,1,2,1,12
102,1,6,102,2,2,1,2,3,3,3,1,14
103,1,7,103,1,2,1,2,3,2,2,2,11
104,1,8,104,1,3,2,2,3,4,2,2,14
105,1,9,105,2,3,1,2,3,3,4,1,15
106,1,10,106,2,2,2,4,2,2,2,1,14
107,1,11,107,2,3,2,3,3,3,3,2,16
108,1,12,108,2,3,2,2,3,3,4,1,16
109,1,13,109,2,3,2,4,3,3,4,2,18
110,1,14,110,1,3,2,3,4,3,3,1,16
111,1,15,111,2,2,1,4,3,4,4,1,18
112,1,16,112,2,2,2,3,3,2,3,2,15
113,1,17,113,2,2,2,3,4,4,3,1,18
114,1,18,114,2,3,2,3,3,4,3,2,17
115,1,19,115,2,3,2,3,3,3,3,1,16
116,1,20,116,1,3,1,3,4,4,3,1,16
117,1,21,117,1,3,1,2,3,2,5,2,14
118,1,22,118,2,3,1,4,2,3,2,2,14
119,1,23,119,0,3,1,4,2,3,3,1,13
120,1,24,120,1,2,1,3,3,2,2,1,12
121,1,1,121,1,3,1,1,2,3,3,2,11
122,1,2,122,1,3,2,2,3,2,2,2,12
123,1,3,123,2,2,1,2,2,2,2,2,11
124,1,4,124,2,3,1,2,3,3,2,1,13
125,1,5,125,1,2,1,2,2,2,3,1,11
126,1,6,126,0,3,2,3,2,2,2,2,11
127,1,7,127,1,2,1,3,2,3,2,1,12
128,1,8,128,2,2,1,2,3,3,2,2,13
129,1,9,129,1,2,2,3,2,3,3,1,14
130,1,10,130,1,3,1,4,3,3,2,1,14
131,1,11,131,1,2,1,2,3,4,3,1,14
132,1,12,132,1,3,2,3,3,4,4,2,17
133,1,13,133,1,2,1,3,4,3,3,2,15
134,1,14,134,2,3,1,3,3,3,5,1,17
135,1,15,135,1,3,1,4,5,2,4,1,17
136,1,16,136,2,3,2,3,4,4,3,2,18
137,1,17,137,2,3,1,4,3,4,4,1,18
138,1,18,138,0,3,2,4,4,4,3,2,17
139,1,19,139,1,3,2,3,3,3,4,1,16
140,1,20,140,1,3,2,4,3,3,4,1,17
141,1,21,141,2,3,2,2,4,2,3,1,15
142,1,22,142,1,3,2,4,2,2,2,1,13
143,1,23,143,2,2,2,2,2,4,3,1,15
144,1,24,144,2,2,1,2,4,4,2,2,15
145,1,1,145,2,2,1,2,3,4,2,2,14
146,1,2,146,2,3,2,2,3,3,1,2,13
147,1,3,147,2,3,1,2,2,2,2,2,11
148,1,4,148,1,3,2,2,2,3,2,1,12
149,1,5,149,2,3,1,2,3,1,2,1,11
150,1,6,150,2,2,1,3,2,2,3,1,13
151,1,7,151,2,2,1,3,2,2,3,1,13
152,1,8,152,2,3,2,4,1,2,3,2,14
153,1,9,153,1,2,2,2,2,3,3,2,13
154,1,10,154,1,2,2,2,3,2,3,1,13
155,1,11,155,1,2,2,3,3,2,2,2,13
156,1,12,156,2,3,2,4,3,3,3,0,17
157,1,13,157,2,3,2,2,4,4,4,2,18
158,1,14,158,2,3,2,3,4,4,4,1,19
159,1,15,159,2,3,2,3,4,3,3,1,17
160,1,16,160,2,3,2,3,3,3,3,2,16
161,1,17,161,2,2,2,4,3,3,4,1,18
162,1,18,162,2,3,2,3,2,4,4,1,17
163,1,19,163,2,3,2,3,3,3,3,1,16
164,1,20,164,1,2,1,3,4,4,3,2,16
165,1,21,165,1,3,1,5,3,2,3,1,15
166,1,22,166,2,3,1,4,3,4,2,2,16
167,1,23,167,2,2,1,2,2,2,4,2,13
168,1,24,168,1,3,1,2,2,3,3,1,12
169,2,1,1,1,2,1,3,3,2,2,2,12
170,2,2,2,2,3,2,4,2,2,1,1,13
171,2,3,3,1,2,2,4,2,1,1,1,11
172,2,4,4,1,3,1,2,2,2,2,2,10
173,2,5,5,1,2,1,3,2,2,3,2,12
174,2,6,6,2,3,1,2,2,2,3,1,12
175,2,7,7,1,3,2,2,2,2,3,1,12
176,2,8,8,1,3,2,3,2,2,3,1,13
177,2,9,9,2,4,2,3,2,3,2,1,14
178,2,10,10,1,3,2,2,3,3,4,1,15
179,2,11,11,2,2,1,3,4,3,1,1,14
180,2,12,12,2,3,2,4,2,4,2,1,16
181,2,13,13,2,2,1,4,3,3,4,1,17
182,2,14,14,2,3,2,4,3,3,4,1,18
183,2,15,15,1,3,2,2,4,3,4,2,16
184,2,16,16,2,2,1,4,4,4,4,2,19
185,2,17,17,2,2,1,4,2,5,3,1,17
186,2,18,18,0,3,2,3,3,4,3,1,15
187,2,19,19,1,2,1,3,4,4,3,2,16
188,2,20,20,1,2,1,3,3,3,4,2,15
189,2,21,21,2,3,2,3,4,3,3,2,17
190,2,22,22,1,3,1,4,3,2,3,1,14
191,2,23,23,2,2,2,2,3,3,3,1,15
192,2,24,24,1,3,1,4,3,3,3,2,15
193,2,1,25,2,2,1,3,2,2,3,1,13
194,2,2,26,2,3,1,2,2,3,2,2,12
195,2,3,27,2,2,1,3,3,2,2,1,13
196,2,4,28,1,2,1,2,3,3,2,2,12
197,2,5,29,1,3,1,3,2,2,2,1,11
198,2,6,30,1,2,1,2,2,2,3,1,11
199,2,7,31,1,3,1,2,4,2,2,1,12
200,2,8,32,2,3,1,4,2,2,2,1,13
201,2,9,33,1,2,2,1,3,2,3,1,12
202,2,10,34,2,3,2,3,3,3,2,1,15
203,2,11,35,2,3,1,3,3,3,3,2,15
204,2,12,36,2,2,2,4,3,4,1,2,16
205,2,13,37,2,2,1,4,2,4,5,1,18
206,2,14,38,1,2,2,3,5,3,4,1,18
207,2,15,39,0,2,2,4,5,5,2,1,18
208,2,16,40,2,3,2,4,2,3,5,1,18
209,2,17,41,2,3,1,3,4,3,4,2,17
210,2,18,42,1,2,2,2,3,4,4,1,16
211,2,19,43,2,2,2,3,4,3,4,2,18
212,2,20,44,2,3,1,3,3,3,4,2,16
213,2,21,45,2,2,1,3,2,5,2,1,15
214,2,22,46,2,3,1,3,4,3,3,2,16
215,2,23,47,1,3,1,2,3,3,3,3,13
216,2,24,48,2,3,1,4,3,2,2,2,14
217,2,1,49,0,3,1,2,2,3,3,1,11
218,2,2,50,0,2,1,3,2,3,2,2,11
219,2,3,51,2,2,1,3,2,2,2,2,12
220,2,4,52,1,2,1,2,3,3,2,1,12
221,2,5,53,2,3,1,2,3,3,2,1,13
222,2,6,54,0,3,2,3,2,2,2,2,11
223,2,7,55,2,2,1,3,4,2,2,1,14
224,2,8,56,2,3,2,2,2,2,3,1,13
225,2,9,57,2,3,2,3,3,2,3,2,15
226,2,10,58,2,3,2,3,3,3,2,1,15
227,2,11,59,2,3,2,4,3,3,2,1,16
228,2,12,60,2,2,2,3,3,3,3,1,16
229,2,13,61,2,3,2,3,3,4,3,2,17
230,2,14,62,0,3,2,4,4,4,3,2,17
231,2,15,63,2,2,2,4,3,3,3,1,17
232,2,16,64,1,2,2,3,4,2,4,2,16
233,2,17,65,1,2,2,4,3,4,4,2,18
234,2,18,66,2,2,1,5,4,3,4,1,19
235,2,19,67,1,3,1,4,4,3,3,1,16
236,2,20,68,2,2,2,3,3,3,3,2,16
237,2,21,69,2,3,2,3,3,2,2,2,14
238,2,22,70,1,2,1,3,4,2,3,2,14
239,2,23,71,1,2,1,4,2,3,2,2,13
240,2,24,72,2,3,1,2,4,2,2,1,13
241,2,1,73,1,2,1,3,2,3,3,1,13
242,2,2,74,1,3,2,3,2,2,3,1,13
243,2,3,75,0,2,1,3,2,3,3,2,12
244,2,4,76,2,3,2,2,2,2,2,1,12
245,2,5,77,1,2,2,3,2,2,2,1,12
246,2,6,78,2,2,1,1,2,3,3,1,12
247,2,7,79,2,3,1,2,3,2,3,1,13
248,2,8,80,1,3,2,1,3,3,2,1,12
249,2,9,81,1,3,2,3,3,2,3,2,14
250,2,10,82,1,3,2,3,2,3,3,2,14
251,2,11,83,2,3,2,2,3,4,2,2,15
252,2,12,84,2,2,2,4,2,3,3,0,16
253,2,13,85,1,2,1,4,4,4,4,1,18
254,2,14,86,2,3,2,3,4,3,3,1,17
255,2,15,87,2,3,2,4,3,4,3,2,18
256,2,16,88,2,3,1,3,5,5,3,2,19
257,2,17,89,2,3,1,3,3,4,5,2,18
258,2,18,90,2,3,2,2,3,2,5,1,16
259,2,19,91,1,3,1,4,4,4,4,1,18
260,2,20,92,2,2,1,2,3,4,3,2,15
261,2,21,93,2,3,2,3,3,2,3,2,15
262,2,22,94,2,2,2,3,4,2,2,1,15
263,2,23,95,1,3,1,3,2,3,3,2,13
264,2,24,96,2,2,1,4,2,1,3,2,13
265,2,1,97,1,3,1,2,2,3,3,2,12
266,2,2,98,1,3,2,2,2,2,2,1,11
267,2,3,99,1,3,1,3,2,2,4,1,13
268,2,4,100,2,2,2,2,2,3,2,2,13
269,2,5,101,1,2,1,2,2,2,2,1,10
270,2,6,102,0,3,1,2,3,3,2,2,11
271,2,7,103,2,3,2,1,3,2,2,1,12
272,2,8,104,2,3,1,2,2,2,2,1,11
273,2,9,105,2,3,1,3,2,3,4,1,15
274,2,10,106,2,3,1,3,3,3,3,2,15
275,2,11,107,2,3,2,3,3,3,3,2,16
276,2,12,108,2,2,2,3,2,4,3,2,16
277,2,13,109,1,2,2,4,3,2,3,2,15
278,2,14,110,2,2,1,4,4,5,4,2,20
279,2,15,111,1,2,2,5,3,3,3,2,17
280,2,16,112,2,3,2,4,5,2,4,1,19
281,2,17,113,2,2,2,3,4,4,3,1,18
282,2,18,114,2,3,2,4,3,4,4,2,19
283,2,19,115,2,2,2,2,3,3,5,1,17
284,2,20,116,1,2,2,3,4,4,3,2,17
285,2,21,117,2,3,1,3,3,3,4,2,16
286,2,22,118,2,3,1,2,3,4,3,2,15
287,2,23,119,2,3,1,2,3,2,2,1,12
288,2,24,120,2,2,1,2,2,3,2,2,12
289,2,1,121,2,3,1,3,2,2,2,2,12
290,2,2,122,1,3,1,3,2,3,2,2,12
291,2,3,123,2,3,1,1,3,3,2,1,12
292,2,4,124,1,3,1,2,2,2,3,2,11
293,2,5,125,1,2,1,2,2,2,2,2,10
294,2,6,126,1,3,2,2,2,2,3,1,12
295,2,7,127,1,3,1,1,3,3,3,2,12
296,2,8,128,1,3,1,4,2,2,3,1,13
297,2,9,129,2,3,2,3,3,3,2,1,15
298,2,10,130,2,3,1,4,4,2,3,1,16
299,2,11,131,2,2,1,3,3,4,3,1,16
300,2,12,132,2,2,1,3,3,3,3,2,15
301,2,13,133,1,3,2,2,4,5,3,1,17
302,2,14,134,2,2,2,2,4,3,4,1,17
303,2,15,135,2,2,2,4,3,4,2,1,17
304,2,16,136,2,3,2,4,4,4,3,2,19
305,2,17,137,2,2,2,2,2,4,4,1,16
306,2,18,138,2,3,1,3,3,3,5,1,17
307,2,19,139,2,2,2,3,3,3,5,2,18
308,2,20,140,2,2,2,4,2,3,2,1,15
309,2,21,141,2,3,2,3,4,4,3,2,18
310,2,22,142,1,2,2,2,3,3,2,1,13
311,2,23,143,1,2,1,2,3,3,3,1,13
312,2,24,144,2,3,1,2,4,3,3,1,15
313,2,1,145,2,4,1,2,2,3,3,2,13
314,2,2,146,1,3,1,2,3,3,2,1,12
315,2,3,147,2,3,1,3,2,2,2,2,12
316,2,4,148,2,3,2,2,2,3,2,1,13
317,2,5,149,1,2,1,2,2,3,2,1,11
318,2,6,150,1,3,1,3,3,3,2,2,13
319,2,7,151,2,3,1,2,4,2,2,1,13
320,2,8,152,2,3,1,2,2,3,3,1,13
321,2,9,153,2,3,1,3,3,3,3,2,15
322,2,10,154,0,2,2,2,3,2,3,2,12
323,2,11,155,2,3,2,3,3,3,2,1,15
324,2,12,156,2,2,2,3,3,4,3,2,17
325,2,13,157,2,3,2,5,3,3,3,1,18
326,2,14,158,2,2,2,4,4,3,4,1,19
327,2,15,159,2,2,2,4,3,4,3,2,18
328,2,16,160,2,2,2,3,4,4,4,2,19
329,2,17,161,2,2,1,2,5,4,3,2,17
330,2,18,162,2,3,2,3,3,4,3,1,17
331,2,19,163,2,3,2,3,2,4,3,2,16
332,2,20,164,2,3,2,2,2,3,4,2,15
333,2,21,165,2,3,2,2,3,3,3,2,15
334,2,22,166,2,3,1,3,4,2,3,2,15
335,2,23,167,1,3,1,4,3,2,3,2,14
336,2,24,168,2,2,1,3,3,2,3,1,14
337,3,1,1,1,3,2,1,3,2,3,2,12
338,3,2,2,2,3,1,3,2,3,3,1,14
339,3,3,3,1,3,1,3,2,2,2,2,11
340,3,4,4,1,3,1,3,3,3,2,1,13
341,3,5,5,2,3,1,2,3,2,2,1,12
342,3,6,6,2,2,1,3,2,2,3,2,13
343,3,7,7,1,3,2,3,2,2,2,2,12
344,3,8,8,2,3,1,2,2,3,3,2,13
345,3,9,9,2,2,2,3,2,3,3,1,15
346,3,10,10,2,3,2,2,4,4,2,1,16
347,3,11,11,2,2,1,4,3,3,3,2,16
348,3,12,12,2,2,1,3,3,4,3,2,16
349,3,13,13,2,3,1,2,4,3,4,1,16
350,3,14,14,1,3,2,3,4,2,4,1,16
351,3,15,15,1,3,1,4,4,4,4,1,18
352,3,16,16,1,2,2,4,3,4,5,1,19
353,3,17,17,1,3,2,3,3,4,5,1,18
354,3,18,18,2,2,2,5,3,3,3,2,18
355,3,19,19,0,3,1,4,3,4,2,2,14
356,3,20,20,2,3,1,5,4,2,2,1,16
357,3,21,21,2,2,1,3,3,4,3,1,16
358,3,22,22,2,3,2,2,3,3,3,2,15
359,3,23,23,2,2,1,3,2,2,3,2,13
360,3,24,24,2,3,1,2,3,3,2,2,13
361,3,1,25,2,3,1,3,2,2,3,2,13
362,3,2,26,1,2,1,3,2,2,3,2,12
363,3,3,27,1,2,1,2,2,3,3,1,12
364,3,4,28,2,2,1,3,2,2,2,1,12
365,3,5,29,2,3,1,1,3,2,2,2,11
366,3,6,30,2,3,1,3,2,2,2,2,12
367,3,7,31,2,2,2,2,2,3,2,1,13
368,3,8,32,1,2,1,2,3,4,2,2,13
369,3,9,33,1,3,1,3,1,3,3,1,12
370,3,10,34,2,2,2,2,3,3,3,1,15
371,3,11,35,2,3,1,4,3,4,4,2,18
372,3,12,36,1,3,1,3,4,5,2,1,16
373,3,13,37,2,2,1,4,3,4,3,0,17
374,3,14,38,1,2,1,2,3,4,4,1,15
375,3,15,39,2,2,2,3,4,3,3,1,17
376,3,16,40,1,3,2,3,3,3,4,2,16
377,3,17,41,2,2,2,4,4,3,2,2,17
378,3,18,42,2,2,1,4,3,4,4,1,18
379,3,19,43,2,3,1,3,4,4,3,2,17
380,3,20,44,2,3,1,4,3,4,2,2,16
381,3,21,45,2,3,2,4,3,3,3,2,17
382,3,22,46,2,3,2,3,2,3,3,1,15
383,3,23,47,1,2,2,2,3,3,3,1,14
384,3,24,48,0,2,2,3,3,3,2,2,13
385,3,1,49,2,2,1,2,3,3,2,2,13
386,3,2,50,2,2,1,2,2,4,3,2,14
387,3,3,51,1,3,1,2,2,2,3,1,11
388,3,4,52,2,2,1,1,2,2,3,2,11
389,3,5,53,2,2,1,2,3,2,2,1,12
390,3,6,54,1,2,1,2,2,3,3,1,12
391,3,7,55,2,3,1,2,3,2,2,1,12
392,3,8,56,1,3,1,3,2,4,3,2,14
393,3,9,57,2,2,1,3,3,2,3,2,14
394,3,10,58,2,2,2,4,2,3,3,2,16
395,3,11,59,1,3,1,2,4,4,2,2,14
396,3,12,60,2,3,2,4,3,3,3,2,17
397,3,13,61,1,3,1,4,3,3,4,1,16
398,3,14,62,2,3,1,4,3,3,4,2,17
399,3,15,63,2,3,2,3,4,4,4,2,19
400,3,16,64,0,2,2,4,4,2,3,1,15
401,3,17,65,1,2,2,3,3,3,4,2,16
402,3,18,66,1,2,2,3,3,2,4,1,15
403,3,19,67,1,3,2,3,4,4,4,2,18
404,3,20,68,2,3,2,3,3,3,3,1,16
405,3,21,69,2,2,1,4,2,3,5,1,17
406,3,22,70,0,3,1,4,4,3,2,1,14
407,3,23,71,1,3,1,3,3,3,3,2,14
408,3,24,72,2,2,1,3,2,3,2,1,13
409,3,1,73,2,3,1,1,3,2,2,2,11
410,3,2,74,1,3,1,3,3,2,2,1,12
411,3,3,75,2,2,1,2,2,2,2,2,11
412,3,4,76,2,3,1,3,2,2,2,2,12
413,3,5,77,1,3,1,2,3,2,3,1,12
414,3,6,78,1,2,1,4,2,2,3,2,13
415,3,7,79,2,3,1,1,2,4,2,1,12
416,3,8,80,1,3,2,3,2,2,2,1,12
417,3,9,81,2,3,2,3,2,2,3,2,14
418,3,10,82,1,3,1,4,2,3,4,2,15
419,3,11,83,0,3,1,4,2,4,3,2,14
420,3,12,84,1,3,1,3,3,4,2,2,14
421,3,13,85,2,2,2,4,3,3,4,1,18
422,3,14,86,1,3,2,4,4,3,3,2,17
423,3,15,87,2,3,2,3,2,4,3,2,16
424,3,16,88,2,3,2,4,4,3,3,2,18
425,3,17,89,2,3,2,4,3,3,4,1,18
426,3,18,90,2,2,2,4,4,4,4,2,20
427,3,19,91,2,2,2,3,4,2,3,2,16
428,3,20,92,2,2,2,3,4,5,2,2,18
429,3,21,93,1,2,2,3,3,3,3,2,15
430,3,22,94,2,3,2,2,2,3,2,1,13
431,3,23,95,2,2,2,2,3,3,3,1,15
432,3,24,96,1,3,1,2,3,3,2,1,12
433,3,1,97,1,3,1,3,3,2,2,1,12
434,3,2,98,2,3,1,2,3,2,3,2,13
435,3,3,99,2,3,1,3,2,2,3,1,13
436,3,4,100,2,4,1,2,2,2,2,1,11
437,3,5,101,2,3,1,2,2,3,3,2,13
438,3,6,102,2,3,1,2,2,2,3,1,12
439,3,7,103,2,3,2,3,2,2,2,1,13
440,3,8,104,2,2,1,1,3,3,2,1,12
441,3,9,105,2,2,2,2,2,4,2,2,14
442,3,10,106,2,4,1,4,3,2,3,1,15
443,3,11,107,2,3,1,4,3,4,3,1,17
444,3,12,108,2,4,2,2,4,3,2,1,15
445,3,13,109,2,2,1,4,4,4,3,2,18
446,3,14,110,1,3,2,4,5,2,4,1,18
447,3,15,111,2,2,2,4,2,4,3,2,17
448,3,16,112,2,2,1,4,3,4,4,2,18
449,3,17,113,2,2,2,5,2,3,3,0,17
450,3,18,114,1,3,2,4,3,4,2,2,16
451,3,19,115,2,3,2,2,3,4,3,1,16
452,3,20,116,2,2,2,4,3,3,3,1,17
453,3,21,117,2,3,1,3,3,3,2,2,14
454,3,22,118,1,3,2,2,3,2,4,1,14
455,3,23,119,1,2,1,3,3,4,3,2,15
456,3,24,120,2,3,1,3,3,3,3,2,15
457,3,1,121,1,3,2,2,3,3,2,2,13
458,3,2,122,2,3,1,2,2,2,3,1,12
459,3,3,123,2,2,1,3,2,2,3,2,13
460,3,4,124,2,3,1,2,3,1,2,1,11
461,3,5,125,1,3,1,1,3,3,2,2,11
462,3,6,126,2,2,1,1,2,2,3,2,11
463,3,7,127,1,3,2,2,2,3,3,2,13
464,3,8,128,1,2,1,4,3,3,2,2,14
465,3,9,129,2,3,1,3,2,3,2,1,13
466,3,10,130,2,2,2,3,3,2,2,2,14
467,3,11,131,1,3,2,3,5,3,3,2,17
468,3,12,132,1,2,2,4,3,3,4,1,17
469,3,13,133,1,3,2,3,3,4,3,2,16
470,3,14,134,2,2,2,3,4,3,4,2,18
471,3,15,135,2,3,2,3,4,3,3,1,17
472,3,16,136,2,2,1,5,3,3,3,1,17
473,3,17,137,2,2,2,4,5,3,3,1,19
474,3,18,138,2,3,2,4,3,3,4,1,18
475,3,19,139,1,3,2,3,3,3,4,1,16
476,3,20,140,2,3,2,3,3,4,3,0,17
477,3,21,141,1,3,2,3,3,2,4,1,15
478,3,22,142,1,2,1,3,3,3,3,2,14
479,3,23,143,2,2,2,2,2,3,3,1,14
480,3,24,144,2,3,1,3,3,2,2,1,13
481,3,1,145,2,3,1,2,2,2,2,0,11
482,3,2,146,2,2,2,2,2,2,2,2,12
483,3,3,147,1,1,1,4,2,2,3,2,13
484,3,4,148,2,2,2,3,1,2,2,1,12
485,3,5,149,1,2,1,3,2,3,2,2,12
486,3,6,150,1,3,1,3,3,2,1,2,11
487,3,7,151,1,2,1,3,3,2,2,1,12
488,3,8,152,2,2,1,3,3,2,2,1,13
489,3,9,153,0,3,2,3,3,2,3,1,13
490,3,10,154,1,3,2,3,2,3,3,2,14
491,3,11,155,1,3,2,4,4,2,2,2,15
492,3,12,156,1,3,2,2,4,2,3,2,14
493,3,13,157,2,3,1,3,3,4,3,1,16
494,3,14,158,2,3,1,4,4,4,3,2,18
495,3,15,159,1,3,2,3,5,3,4,1,18
496,3,16,160,1,3,2,3,3,3,5,1,17
497,3,17,161,2,2,2,4,4,2,4,1,18
498,3,18,162,2,3,2,4,5,3,2,1,18
499,3,19,163,2,3,2,3,4,3,3,1,17
500,3,20,164,1,3,2,3,2,3,4,1,15
501,3,21,165,2,4,1,3,4,2,3,1,15
502,3,22,166,2,2,2,2,3,2,4,2,15
503,3,23,167,1,2,1,2,3,3,3,0,13
504,3,24,168,2,2,1,3,2,1,3,1,12
505,4,1,1,2,2,1,2,3,3,2,1,13
506,4,2,2,2,2,1,3,2,3,2,1,13
507,4,3,3,1,3,1,2,2,2,3,1,11
508,4,4,4,1,2,1,2,3,3,2,1,12
509,4,5,5,2,2,1,2,2,2,2,1,11
510,4,6,6,1,3,1,2,3,2,3,2,12
511,4,7,7,2,3,1,4,3,1,3,1,14
512,4,8,8,2,2,2,3,3,2,1,1,13
513,4,9,9,2,2,1,4,3,2,3,1,15
514,4,10,10,2,3,1,2,3,2,3,2,13
515,4,11,11,2,3,1,3,3,3,3,1,15
516,4,12,12,2,3,1,4,3,4,3,1,17
517,4,13,13,1,3,1,3,4,4,2,2,15
518,4,14,14,2,2,2,3,4,3,4,1,18
519,4,15,15,2,2,2,3,3,4,4,2,18
520,4,16,16,1,3,2,5,4,3,2,1,17
521,4,17,17,1,3,2,3,3,4,4,1,17
522,4,18,18,2,4,2,4,2,4,3,1,17
523,4,19,19,2,3,1,3,3,3,5,1,17
524,4,20,20,1,2,2,3,3,2,5,2,16
525,4,21,21,2,3,2,3,3,2,3,1,15
526,4,22,22,2,2,1,4,2,3,3,1,15
527,4,23,23,2,2,2,3,2,3,2,2,14
528,4,24,24,1,4,2,3,2,2,2,1,12
529,4,1,25,2,2,2,2,2,2,3,1,13
530,4,2,26,2,3,1,4,1,3,2,1,13
