"Tier","WeekendG","Positions","ShiftT","Day","Roster"
1,1,"CNL",2,37,0
1,1,"CNL",2,38,0
1,1,"CNL",2,39,0
1,1,"CNL",2,40,0
1,1,"CNL",2,41,0
1,1,"CNL",2,42,0
1,1,"CNL",3,1,0
1,1,"CNL",3,2,0
1,1,"CNL",3,3,0
1,1,"CNL",3,4,0
1,1,"CNL",3,5,0
1,1,"CNL",3,6,0
1,1,"CNL",3,7,0
1,1,"CNL",3,8,0
1,1,"CNL",3,9,0
1,1,"CNL",3,10,0
1,1,"CNL",3,11,0
1,1,"CNL",3,12,0
1,1,"CNL",3,13,0
1,1,"CNL",3,14,0
1,1,"CNL",3,15,0
1,1,"CNL",3,16,0
1,1,"CNL",3,17,0
1,1,"CNL",3,18,0
1,1,"CNL",3,19,0
1,1,"CNL",3,20,0
1,1,"CNL",3,21,0
1,1,"CNL",3,22,0
1,1,"CNL",3,23,0
1,1,"CNL",3,24,0
1,1,"CNL",3,25,0
1,1,"CNL",3,26,0
1,1,"CNL",3,27,0
1,1,"CNL",3,28,0
1,1,"CNL",3,29,0
1,1,"CNL",3,30,0
1,1,"CNL",3,31,0
1,1,"CNL",3,32,0
1,1,"CNL",3,33,0
1,1,"CNL",3,34,0
1,1,"CNL",3,35,0
1,1,"CNL",3,36,0
1,1,"CNL",3,37,0
1,1,"CNL",3,38,0
1,1,"CNL",3,39,0
1,1,"CNL",3,40,0
1,1,"CNL",3,41,0
1,1,"CNL",3,42,0
1,1,"first nurse",1,1,0
1,1,"first nurse",1,2,0
1,1,"first nurse",1,3,0
1,1,"first nurse",1,4,0
1,1,"first nurse",1,5,0
1,1,"first nurse",1,6,0
1,1,"first nurse",1,7,0
1,1,"first nurse",1,8,0
1,1,"first nurse",1,9,0
1,1,"first nurse",1,10,0
1,1,"first nurse",1,11,0
1,1,"first nurse",1,12,0
1,1,"first nurse",1,13,0
1,1,"first nurse",1,14,0
1,1,"first nurse",1,15,0
1,1,"first nurse",1,16,0
1,1,"first nurse",1,17,0
1,1,"first nurse",1,18,0
1,1,"first nurse",1,19,0
1,1,"first nurse",1,20,0
1,1,"first nurse",1,21,0
1,1,"first nurse",1,22,0
1,1,"first nurse",1,23,0
1,1,"first nurse",1,24,0
1,1,"first nurse",1,25,0
1,1,"first nurse",1,26,0
1,1,"first nurse",1,27,0
1,1,"first nurse",1,28,0
1,1,"first nurse",1,29,0
1,1,"first nurse",1,30,0
1,1,"first nurse",1,31,0
1,1,"first nurse",1,32,0
1,1,"first nurse",1,33,0
1,1,"first nurse",1,34,0
1,1,"first nurse",1,35,0
1,1,"first nurse",1,36,0
1,1,"first nurse",1,37,0
1,1,"first nurse",1,38,0
1,1,"first nurse",1,39,0
1,1,"first nurse",1,40,0
1,1,"first nurse",1,41,0
1,1,"first nurse",1,42,0
1,1,"first nurse",2,1,0
1,1,"first nurse",2,2,0
1,1,"first nurse",2,3,0
1,1,"first nurse",2,4,0
1,1,"first nurse",2,5,0
1,1,"first nurse",2,6,0
1,1,"first nurse",2,7,0
1,1,"first nurse",2,8,0
1,1,"first nurse",2,9,0
1,1,"first nurse",2,10,0
1,1,"first nurse",2,11,0
1,1,"first nurse",2,12,0
1,1,"first nurse",2,13,0
1,1,"first nurse",2,14,0
1,1,"first nurse",2,15,0
1,1,"first nurse",2,16,0
1,1,"first nurse",2,17,0
1,1,"first nurse",2,18,0
1,1,"first nurse",2,19,0
1,1,"first nurse",2,20,0
1,1,"first nurse",2,21,0
1,1,"first nurse",2,22,0
1,1,"first nurse",2,23,0
1,1,"first nurse",2,24,0
1,1,"first nurse",2,25,0
1,1,"first nurse",2,26,0
1,1,"first nurse",2,27,0
1,1,"first nurse",2,28,0
1,1,"first nurse",2,29,0
1,1,"first nurse",2,30,0
1,1,"first nurse",2,31,0
1,1,"first nurse",2,32,0
1,1,"first nurse",2,33,0
1,1,"first nurse",2,34,0
1,1,"first nurse",2,35,0
1,1,"first nurse",2,36,0
1,1,"first nurse",2,37,0
1,1,"first nurse",2,38,0
1,1,"first nurse",2,39,0
1,1,"first nurse",2,40,0
1,1,"first nurse",2,41,0
1,1,"first nurse",2,42,0
1,1,"first nurse",3,1,0
1,1,"first nurse",3,2,0
1,1,"first nurse",3,3,0
1,1,"first nurse",3,4,0
1,1,"first nurse",3,5,0
1,1,"first nurse",3,6,0
1,1,"first nurse",3,7,0
1,1,"first nurse",3,8,0
1,1,"first nurse",3,9,0
1,1,"first nurse",3,10,0
1,1,"first nurse",3,11,0
1,1,"first nurse",3,12,0
1,1,"first nurse",3,13,0
1,1,"first nurse",3,14,0
1,1,"first nurse",3,15,0
1,1,"first nurse",3,16,0
1,1,"first nurse",3,17,0
1,1,"first nurse",3,18,0
1,1,"first nurse",3,19,0
1,1,"first nurse",3,20,0
1,1,"first nurse",3,21,0
1,1,"first nurse",3,22,0
1,1,"first nurse",3,23,0
1,1,"first nurse",3,24,0
1,1,"first nurse",3,25,0
1,1,"first nurse",3,26,0
1,1,"first nurse",3,27,0
1,1,"first nurse",3,28,0
1,1,"first nurse",3,29,0
1,1,"first nurse",3,30,0
1,1,"first nurse",3,31,0
1,1,"first nurse",3,32,0
1,1,"first nurse",3,33,0
1,1,"first nurse",3,34,0
1,1,"first nurse",3,35,0
1,1,"first nurse",3,36,0
1,1,"first nurse",3,37,0
1,1,"first nurse",3,38,0
1,1,"first nurse",3,39,0
1,1,"first nurse",3,40,0
1,1,"first nurse",3,41,0
1,1,"first nurse",3,42,0
1,1,"resource nurse",1,1,0
1,1,"resource nurse",1,2,0
1,1,"resource nurse",1,3,0
1,1,"resource nurse",1,4,0
1,1,"resource nurse",1,5,0
1,1,"resource nurse",1,6,0
1,1,"resource nurse",1,7,0
1,1,"resource nurse",1,8,0
1,1,"resource nurse",1,9,0
1,1,"resource nurse",1,10,0
1,1,"resource nurse",1,11,0
1,1,"resource nurse",1,12,0
1,1,"resource nurse",1,13,0
1,1,"resource nurse",1,14,0
1,1,"resource nurse",1,15,0
1,1,"resource nurse",1,16,0
1,1,"resource nurse",1,17,0
1,1,"resource nurse",1,18,0
1,1,"resource nurse",1,19,0
1,1,"resource nurse",1,20,0
1,1,"resource nurse",1,21,0
1,1,"resource nurse",1,22,0
1,1,"resource nurse",1,23,0
1,1,"resource nurse",1,24,0
1,1,"resource nurse",1,25,0
1,1,"resource nurse",1,26,0
1,1,"resource nurse",1,27,0
1,1,"resource nurse",1,28,0
1,1,"resource nurse",1,29,0
1,1,"resource nurse",1,30,0
1,1,"resource nurse",1,31,0
1,1,"resource nurse",1,32,0
1,1,"resource nurse",1,33,0
1,1,"resource nurse",1,34,0
1,1,"resource nurse",1,35,0
1,1,"resource nurse",1,36,0
1,1,"resource nurse",1,37,0
1,1,"resource nurse",1,38,0
1,1,"resource nurse",1,39,0
1,1,"resource nurse",1,40,0
1,1,"resource nurse",1,41,0
1,1,"resource nurse",1,42,0
1,1,"resource nurse",2,1,0
1,1,"resource nurse",2,2,0
1,1,"resource nurse",2,3,0
1,1,"resource nurse",2,4,0
1,1,"resource nurse",2,5,0
1,1,"resource nurse",2,6,0
1,1,"resource nurse",2,7,0
1,1,"resource nurse",2,8,0
1,1,"resource nurse",2,9,0
1,1,"resource nurse",2,10,0
1,1,"resource nurse",2,11,0
1,1,"resource nurse",2,12,0
1,1,"resource nurse",2,13,0
1,1,"resource nurse",2,14,0
1,1,"resource nurse",2,15,0
1,1,"resource nurse",2,16,0
1,1,"resource nurse",2,17,0
1,1,"resource nurse",2,18,0
1,1,"resource nurse",2,19,0
1,1,"resource nurse",2,20,0
1,1,"resource nurse",2,21,0
1,1,"resource nurse",2,22,0
1,1,"resource nurse",2,23,0
1,1,"resource nurse",2,24,0
1,1,"resource nurse",2,25,0
1,1,"resource nurse",2,26,0
1,1,"resource nurse",2,27,0
1,1,"resource nurse",2,28,0
1,1,"resource nurse",2,29,0
1,1,"resource nurse",2,30,0
1,1,"resource nurse",2,31,0
1,1,"resource nurse",2,32,0
1,1,"resource nurse",2,33,0
1,1,"resource nurse",2,34,0
1,1,"resource nurse",2,35,0
1,1,"resource nurse",2,36,0
1,1,"resource nurse",2,37,0
1,1,"resource nurse",2,38,0
1,1,"resource nurse",2,39,0
1,1,"resource nurse",2,40,0
1,1,"resource nurse",2,41,0
1,1,"resource nurse",2,42,0
1,1,"resource nurse",3,1,0
1,1,"resource nurse",3,2,0
1,1,"resource nurse",3,3,0
1,1,"resource nurse",3,4,0
1,1,"resource nurse",3,5,0
1,1,"resource nurse",3,6,0
1,1,"resource nurse",3,7,0
1,1,"resource nurse",3,8,0
1,1,"resource nurse",3,9,0
1,1,"resource nurse",3,10,0
1,1,"resource nurse",3,11,0
1,1,"resource nurse",3,12,0
1,1,"resource nurse",3,13,0
1,1,"resource nurse",3,14,0
1,1,"resource nurse",3,15,0
1,1,"resource nurse",3,16,0
1,1,"resource nurse",3,17,0
1,1,"resource nurse",3,18,0
1,1,"resource nurse",3,19,0
1,1,"resource nurse",3,20,0
1,1,"resource nurse",3,21,0
1,1,"resource nurse",3,22,0
1,1,"resource nurse",3,23,0
1,1,"resource nurse",3,24,0
1,1,"resource nurse",3,25,0
1,1,"resource nurse",3,26,0
1,1,"resource nurse",3,27,0
1,1,"resource nurse",3,28,0
1,1,"resource nurse",3,29,0
1,1,"resource nurse",3,30,0
1,1,"resource nurse",3,31,0
1,1,"resource nurse",3,32,0
1,1,"resource nurse",3,33,0
1,1,"resource nurse",3,34,0
1,1,"resource nurse",3,35,0
1,1,"resource nurse",3,36,0
1,1,"resource nurse",3,37,0
1,1,"resource nurse",3,38,0
1,1,"resource nurse",3,39,0
1,1,"resource nurse",3,40,0
1,1,"resource nurse",3,41,0
1,1,"resource nurse",3,42,0
1,1,"triage nurse",1,1,0
1,1,"triage nurse",1,2,0
1,1,"triage nurse",1,3,0
1,1,"triage nurse",1,4,0
1,1,"triage nurse",1,5,0
1,1,"triage nurse",1,6,0
1,1,"triage nurse",1,7,0
1,1,"triage nurse",1,8,0
1,1,"triage nurse",1,9,0
1,1,"triage nurse",1,10,0
1,1,"triage nurse",1,11,0
1,1,"triage nurse",1,12,0
1,1,"triage nurse",1,13,0
1,1,"triage nurse",1,14,0
1,1,"triage nurse",1,15,0
1,1,"triage nurse",1,16,0
1,1,"triage nurse",1,17,0
1,1,"triage nurse",1,18,0
1,1,"triage nurse",1,19,0
1,1,"triage nurse",1,20,0
1,1,"triage nurse",1,21,0
1,1,"triage nurse",1,22,0
1,1,"triage nurse",1,23,0
1,1,"triage nurse",1,24,0
1,1,"triage nurse",1,25,0
1,1,"triage nurse",1,26,0
1,1,"triage nurse",1,27,0
1,1,"triage nurse",1,28,0
1,1,"triage nurse",1,29,0
1,1,"triage nurse",1,30,0
1,1,"triage nurse",1,31,0
1,1,"triage nurse",1,32,0
1,1,"triage nurse",1,33,0
1,1,"triage nurse",1,34,0
1,1,"triage nurse",1,35,0
1,1,"triage nurse",1,36,0
1,1,"triage nurse",1,37,0
1,1,"triage nurse",1,38,0
1,1,"triage nurse",1,39,0
1,1,"triage nurse",1,40,0
1,1,"triage nurse",1,41,0
1,1,"triage nurse",1,42,0
1,1,"triage nurse",2,1,0
1,1,"triage nurse",2,2,0
1,1,"triage nurse",2,3,0
1,1,"triage nurse",2,4,0
1,1,"triage nurse",2,5,0
1,1,"triage nurse",2,6,0
1,1,"triage nurse",2,7,0
1,1,"triage nurse",2,8,0
1,1,"triage nurse",2,9,0
1,1,"triage nurse",2,10,0
1,1,"triage nurse",2,11,0
1,1,"triage nurse",2,12,0
1,1,"triage nurse",2,13,0
1,1,"triage nurse",2,14,0
1,1,"triage nurse",2,15,0
1,1,"triage nurse",2,16,0
1,1,"triage nurse",2,17,0
1,1,"triage nurse",2,18,0
1,1,"triage nurse",2,19,0
1,1,"triage nurse",2,20,0
1,1,"triage nurse",2,21,0
1,1,"triage nurse",2,22,0
1,1,"triage nurse",2,23,0
1,1,"triage nurse",2,24,0
1,1,"triage nurse",2,25,0
1,1,"triage nurse",2,26,0
1,1,"triage nurse",2,27,0
1,1,"triage nurse",2,28,0
1,1,"triage nurse",2,29,0
1,1,"triage nurse",2,30,0
1,1,"triage nurse",2,31,0
1,1,"triage nurse",2,32,0
1,1,"triage nurse",2,33,0
1,1,"triage nurse",2,34,0
1,1,"triage nurse",2,35,0
1,1,"triage nurse",2,36,0
1,1,"triage nurse",2,37,0
1,1,"triage nurse",2,38,0
1,1,"triage nurse",2,39,0
1,1,"triage nurse",2,40,0
1,1,"triage nurse",2,41,0
1,1,"triage nurse",2,42,0
1,1,"triage nurse",3,1,0
1,1,"triage nurse",3,2,0
1,1,"triage nurse",3,3,0
1,1,"triage nurse",3,4,0
1,1,"triage nurse",3,5,0
1,1,"triage nurse",3,6,0
1,1,"triage nurse",3,7,0
1,1,"triage nurse",3,8,0
1,1,"triage nurse",3,9,0
1,1,"triage nurse",3,10,0
1,1,"triage nurse",3,11,0
1,1,"triage nurse",3,12,0
1,1,"triage nurse",3,13,0
1,1,"triage nurse",3,14,0
1,1,"triage nurse",3,15,0
1,1,"triage nurse",3,16,0
1,1,"triage nurse",3,17,0
1,1,"triage nurse",3,18,0
1,1,"triage nurse",3,19,0
1,1,"triage nurse",3,20,0
1,1,"triage nurse",3,21,0
1,1,"triage nurse",3,22,0
1,1,"triage nurse",3,23,0
1,1,"triage nurse",3,24,0
1,1,"triage nurse",3,25,0
1,1,"triage nurse",3,26,0
1,1,"triage nurse",3,27,0
1,1,"triage nurse",3,28,0
1,1,"triage nurse",3,29,0
1,1,"triage nurse",3,30,0
1,1,"triage nurse",3,31,0
1,1,"triage nurse",3,32,0
1,1,"triage nurse",3,33,0
1,1,"triage nurse",3,34,0
1,1,"triage nurse",3,35,0
1,1,"triage nurse",3,36,0
1,1,"triage nurse",3,37,0
1,1,"triage nurse",3,38,0
1,1,"triage nurse",3,39,0
1,1,"triage nurse",3,40,0
1,1,"triage nurse",3,41,0
1,1,"triage nurse",3,42,0
1,1,"FEP",1,1,0
1,1,"FEP",1,2,0
1,1,"FEP",1,3,0
1,1,"FEP",1,4,0
1,1,"FEP",1,5,0
1,1,"FEP",1,6,0
1,1,"FEP",1,7,0
1,1,"FEP",1,8,0
1,1,"FEP",1,9,0
1,1,"FEP",1,10,0
1,1,"FEP",1,11,0
1,1,"FEP",1,12,0
1,1,"FEP",1,13,0
1,1,"FEP",1,14,0
1,1,"FEP",1,15,0
1,1,"FEP",1,16,0
1,1,"FEP",1,17,0
1,1,"FEP",1,18,0
1,1,"FEP",1,19,0
1,1,"FEP",1,20,0
1,1,"FEP",1,21,0
1,1,"FEP",1,22,0
1,1,"FEP",1,23,0
1,1,"FEP",1,24,0
1,1,"FEP",1,25,0
1,1,"FEP",1,26,0
1,1,"FEP",1,27,0
1,1,"FEP",1,28,0
1,1,"FEP",1,29,0
1,1,"FEP",1,30,0
1,1,"FEP",1,31,0
1,1,"FEP",1,32,0
1,1,"FEP",1,33,0
1,1,"FEP",1,34,0
1,1,"FEP",1,35,0
1,1,"FEP",1,36,0
1,1,"FEP",1,37,0
1,1,"FEP",1,38,0
1,1,"FEP",1,39,0
1,1,"FEP",1,40,0
1,1,"FEP",1,41,0
1,1,"FEP",1,42,0
1,1,"FEP",2,1,0
1,1,"FEP",2,2,0
1,1,"FEP",2,3,0
1,1,"FEP",2,4,0
1,1,"FEP",2,5,0
1,1,"FEP",2,6,0
1,1,"FEP",2,7,0
1,1,"FEP",2,8,0
1,1,"FEP",2,9,0
1,1,"FEP",2,10,0
1,1,"FEP",2,11,0
1,1,"FEP",2,12,0
1,1,"FEP",2,13,0
1,1,"FEP",2,14,0
1,1,"FEP",2,15,0
1,1,"FEP",2,16,0
1,1,"FEP",2,17,0
1,1,"FEP",2,18,0
1,1,"FEP",2,19,0
1,1,"FEP",2,20,0
1,1,"FEP",2,21,0
1,1,"FEP",2,22,0
1,1,"FEP",2,23,0
1,1,"FEP",2,24,0
1,1,"FEP",2,25,0
1,1,"FEP",2,26,0
1,1,"FEP",2,27,0
1,1,"FEP",2,28,0
1,1,"FEP",2,29,0
1,1,"FEP",2,30,0
1,1,"FEP",2,31,0
1,1,"FEP",2,32,0
1,1,"FEP",2,33,0
1,1,"FEP",2,34,0
1,1,"FEP",2,35,0
1,1,"FEP",2,36,0
1,1,"FEP",2,37,0
1,1,"FEP",2,38,0
1,1,"FEP",2,39,0
1,1,"FEP",2,40,0
1,1,"FEP",2,41,0
1,1,"FEP",2,42,0
1,1,"FEP",3,1,0
1,1,"FEP",3,2,0
1,1,"FEP",3,3,0
1,1,"FEP",3,4,0
1,1,"FEP",3,5,0
1,1,"FEP",3,6,0
1,1,"FEP",3,7,0
1,1,"FEP",3,8,0
1,1,"FEP",3,9,0
1,1,"FEP",3,10,0
1,1,"FEP",3,11,0
1,1,"FEP",3,12,0
1,1,"FEP",3,13,0
1,1,"FEP",3,14,0
1,1,"FEP",3,15,0
1,1,"FEP",3,16,0
1,1,"FEP",3,17,0
1,1,"FEP",3,18,0
1,1,"FEP",3,19,0
1,1,"FEP",3,20,0
1,1,"FEP",3,21,0
1,1,"FEP",3,22,0
1,1,"FEP",3,23,0
1,1,"FEP",3,24,0
1,1,"FEP",3,25,0
1,1,"FEP",3,26,0
1,1,"FEP",3,27,0
1,1,"FEP",3,28,0
1,1,"FEP",3,29,0
1,1,"FEP",3,30,0
1,1,"FEP",3,31,0
1,1,"FEP",3,32,0
1,1,"FEP",3,33,0
1,1,"FEP",3,34,0
1,1,"FEP",3,35,0
1,1,"FEP",3,36,0
1,1,"FEP",3,37,0
1,1,"FEP",3,38,0
1,1,"FEP",3,39,0
1,1,"FEP",3,40,0
1,1,"FEP",3,41,0
1,1,"FEP",3,42,0
1,1,"blue",1,1,0
1,1,"blue",1,2,0
1,1,"blue",1,3,0
1,1,"blue",1,4,0
1,1,"blue",1,5,0
1,1,"blue",1,6,0
1,1,"blue",1,7,0
1,1,"blue",1,8,0
1,1,"blue",1,9,0
1,1,"blue",1,10,0
1,1,"blue",1,11,0
1,1,"blue",1,12,0
1,1,"blue",1,13,0
1,1,"blue",1,14,0
1,1,"blue",1,15,0
1,1,"blue",1,16,0
1,1,"blue",1,17,0
1,1,"blue",1,18,0
1,1,"blue",1,19,0
1,1,"blue",1,20,0
1,1,"blue",1,21,0
1,1,"blue",1,22,0
1,1,"blue",1,23,4
1,1,"blue",1,24,0
1,1,"blue",1,25,0
1,1,"blue",1,26,0
1,1,"blue",1,27,0
1,1,"blue",1,28,0
1,1,"blue",1,29,0
1,1,"blue",1,30,0
1,1,"blue",1,31,0
1,1,"blue",1,32,0
1,1,"blue",1,33,0
1,1,"blue",1,34,0
1,1,"blue",1,35,0
1,1,"blue",1,36,0
1,1,"blue",1,37,0
1,1,"blue",1,38,0
1,1,"blue",1,39,0
1,1,"blue",1,40,0
1,1,"blue",1,41,0
1,1,"blue",1,42,0
1,1,"blue",2,1,0
1,1,"blue",2,2,0
1,1,"blue",2,3,0
1,1,"blue",2,4,0
1,1,"blue",2,5,0
1,1,"blue",2,6,0
1,1,"blue",2,7,0
1,1,"blue",2,8,0
1,1,"blue",2,9,0
1,1,"blue",2,10,0
1,1,"blue",2,11,0
1,1,"blue",2,12,0
1,1,"blue",2,13,0
1,1,"blue",2,14,0
1,1,"blue",2,15,0
1,1,"blue",2,16,0
1,1,"blue",2,17,0
1,1,"blue",2,18,0
1,1,"blue",2,19,0
1,1,"blue",2,20,0
1,1,"blue",2,21,0
1,1,"blue",2,22,0
1,1,"blue",2,23,0
1,1,"blue",2,24,0
1,1,"blue",2,25,0
1,1,"blue",2,26,0
1,1,"blue",2,27,0
1,1,"blue",2,28,0
1,1,"blue",2,29,0
1,1,"blue",2,30,0
1,1,"blue",2,31,0
1,1,"blue",2,32,0
1,1,"blue",2,33,0
1,1,"blue",2,34,0
1,1,"blue",2,35,0
1,1,"blue",2,36,0
1,1,"blue",2,37,0
1,1,"blue",2,38,0
1,1,"blue",2,39,0
1,1,"blue",2,40,0
1,1,"blue",2,41,0
1,1,"blue",2,42,0
1,1,"blue",3,1,0
1,1,"blue",3,2,0
1,1,"blue",3,3,0
1,1,"blue",3,4,0
1,1,"blue",3,5,0
1,1,"blue",3,6,0
1,1,"blue",3,7,0
1,1,"blue",3,8,0
1,1,"blue",3,9,0
1,1,"blue",3,10,0
1,1,"blue",3,11,0
1,1,"blue",3,12,0
1,1,"blue",3,13,0
1,1,"blue",3,14,0
1,1,"blue",3,15,0
1,1,"blue",3,16,0
1,1,"blue",3,17,0
1,1,"blue",3,18,0
1,1,"blue",3,19,4
1,1,"blue",3,20,0
1,1,"blue",3,21,0
1,1,"blue",3,22,0
1,1,"blue",3,23,0
1,1,"blue",3,24,0
1,1,"blue",3,25,0
1,1,"blue",3,26,0
1,1,"blue",3,27,0
1,1,"blue",3,28,0
1,1,"blue",3,29,0
1,1,"blue",3,30,0
1,1,"blue",3,31,0
1,1,"blue",3,32,0
1,1,"blue",3,33,0
1,1,"blue",3,34,0
1,1,"blue",3,35,0
1,1,"blue",3,36,0
1,1,"blue",3,37,0
1,1,"blue",3,38,0
1,1,"blue",3,39,0
1,1,"blue",3,40,0
1,1,"blue",3,41,0
1,1,"blue",3,42,0
1,1,"green",1,1,0
1,1,"green",1,2,0
1,1,"green",1,3,0
1,1,"green",1,4,0
1,1,"green",1,5,0
1,1,"green",1,6,0
1,1,"green",1,7,0
1,1,"green",1,8,0
1,1,"green",1,9,0
1,1,"green",1,10,0
1,1,"green",1,11,0
1,1,"green",1,12,0
1,1,"green",1,13,0
1,1,"green",1,14,0
1,1,"green",1,15,0
1,1,"green",1,16,0
1,1,"green",1,17,0
1,1,"green",1,18,0
1,1,"green",1,19,0
1,1,"green",1,20,0
1,1,"green",1,21,0
1,1,"green",1,22,0
1,1,"green",1,23,0
1,1,"green",1,24,0
1,1,"green",1,25,0
1,1,"green",1,26,0
1,1,"green",1,27,0
1,1,"green",1,28,0
1,1,"green",1,29,0
1,1,"green",1,30,0
1,1,"green",1,31,0
1,1,"green",1,32,0
1,1,"green",1,33,5
1,1,"green",1,34,0
1,1,"green",1,35,0
1,1,"green",1,36,0
1,1,"green",1,37,0
1,1,"green",1,38,0
1,1,"green",1,39,0
1,1,"green",1,40,0
1,1,"green",1,41,0
1,1,"green",1,42,0
1,1,"green",2,1,0
1,1,"green",2,2,0
1,1,"green",2,3,0
1,1,"green",2,4,0
1,1,"green",2,5,0
1,1,"green",2,6,0
1,1,"green",2,7,0
1,1,"green",2,8,0
1,1,"green",2,9,0
1,1,"green",2,10,0
1,1,"green",2,11,0
1,1,"green",2,12,0
1,1,"green",2,13,0
1,1,"green",2,14,0
1,1,"green",2,15,0
1,1,"green",2,16,0
1,1,"green",2,17,0
1,1,"green",2,18,0
1,1,"green",2,19,0
1,1,"green",2,20,0
1,1,"green",2,21,0
1,1,"green",2,22,0
1,1,"green",2,23,0
1,1,"green",2,24,0
1,1,"green",2,25,0
1,1,"green",2,26,0
1,1,"green",2,27,0
1,1,"green",2,28,0
1,1,"green",2,29,0
1,1,"green",2,30,0
1,1,"green",2,31,0
1,1,"green",2,32,0
1,1,"green",2,33,0
1,1,"green",2,34,0
1,1,"green",2,35,0
1,1,"green",2,36,0
1,1,"green",2,37,0
1,1,"green",2,38,0
1,1,"green",2,39,0
1,1,"green",2,40,0
1,1,"green",2,41,0
1,1,"green",2,42,0
1,1,"green",3,1,0
1,1,"green",3,2,0
1,1,"green",3,3,0
1,1,"green",3,4,0
1,1,"green",3,5,0
1,1,"green",3,6,0
1,1,"green",3,7,0
1,1,"green",3,8,0
1,1,"green",3,9,0
1,1,"green",3,10,0
1,1,"green",3,11,0
1,1,"green",3,12,0
1,1,"green",3,13,0
1,1,"green",3,14,0
1,1,"green",3,15,0
1,1,"green",3,16,0
1,1,"green",3,17,0
1,1,"green",3,18,0
1,1,"green",3,19,0
1,1,"green",3,20,0
1,1,"green",3,21,0
1,1,"green",3,22,0
1,1,"green",3,23,0
1,1,"green",3,24,0
1,1,"green",3,25,0
1,1,"green",3,26,0
1,1,"green",3,27,0
1,1,"green",3,28,0
1,1,"green",3,29,0
1,1,"green",3,30,0
1,1,"green",3,31,0
1,1,"green",3,32,0
1,1,"green",3,33,0
1,1,"green",3,34,0
1,1,"green",3,35,0
1,1,"green",3,36,0
1,1,"green",3,37,5
1,1,"green",3,38,0
1,1,"green",3,39,0
1,1,"green",3,40,0
1,1,"green",3,41,0
1,1,"green",3,42,0
1,1,"orange",1,1,0
1,1,"orange",1,2,0
1,1,"orange",1,3,0
1,1,"orange",1,4,0
1,1,"orange",1,5,0
1,1,"orange",1,6,0
1,1,"orange",1,7,0
1,1,"orange",1,8,0
1,1,"orange",1,9,0
1,1,"orange",1,10,0
1,1,"orange",1,11,0
1,1,"orange",1,12,0
1,1,"orange",1,13,0
1,1,"orange",1,14,0
1,1,"orange",1,15,0
1,1,"orange",1,16,0
1,1,"orange",1,17,0
1,1,"orange",1,18,0
1,1,"orange",1,19,0
1,1,"orange",1,20,0
1,1,"orange",1,21,0
1,1,"orange",1,22,0
1,1,"orange",1,23,0
1,1,"orange",1,24,0
1,1,"orange",1,25,0
1,1,"orange",1,26,0
1,1,"orange",1,27,0
1,1,"orange",1,28,0
1,1,"orange",1,29,0
1,1,"orange",1,30,0
1,1,"orange",1,31,0
1,1,"orange",1,32,0
