Absolute Hour,Week,Hour (Day),Hour (Week),Floating,Purple,EDOU,Red Pod,Blue Pod,Green Pod,Orange Pod,iTrack,Hallway
87,1,15,87,79,11,4,3,10,16,14,14,22
88,1,16,88,84,9,2,3,14,19,17,16,15
89,1,17,89,78,20,5,4,8,23,14,10,19
90,1,18,90,77,15,7,2,15,14,10,21,15
91,1,19,91,71,15,6,4,9,8,17,17,16
92,1,20,92,76,16,3,2,14,15,18,12,15
93,1,21,93,62,12,6,4,10,15,7,11,15
94,1,22,94,65,11,3,4,18,17,9,6,11
95,1,23,95,60,18,3,4,12,7,8,11,18
96,1,24,96,58,13,3,2,11,13,8,13,11
97,1,1,97,55,17,5,3,9,12,13,10,8
98,1,2,98,54,17,4,4,13,13,4,10,10
99,1,3,99,50,15,4,1,10,11,13,4,11
100,1,4,100,44,15,8,4,6,10,7,8,9
101,1,5,101,54,23,7,3,8,11,10,9,13
102,1,6,102,49,20,3,2,7,8,13,12,7
103,1,7,103,56,13,8,3,7,17,12,7,10
104,1,8,104,56,15,7,4,11,6,14,12,9
105,1,9,105,63,18,3,4,13,13,16,8,9
106,1,10,106,64,21,4,4,14,13,10,11,12
107,1,11,107,67,19,5,2,17,5,18,14,11
108,1,12,108,75,13,5,2,14,15,11,19,14
109,1,13,109,68,13,5,1,20,14,11,13,9
110,1,14,110,77,15,3,3,20,15,13,17,9
111,1,15,111,79,18,4,4,12,19,16,13,15
112,1,16,112,81,16,3,4,21,15,17,14,10
113,1,17,113,78,18,6,4,23,15,11,12,13
114,1,18,114,72,14,7,4,11,11,14,20,12
115,1,19,115,76,18,3,3,11,17,11,17,17
116,1,20,116,69,15,6,4,15,10,10,14,16
117,1,21,117,70,11,6,4,13,10,15,17,11
118,1,22,118,65,14,4,3,14,14,18,7,9
119,1,23,119,60,11,8,4,8,13,14,13,8
120,1,24,120,61,19,6,1,11,9,14,12,14
121,1,1,121,57,14,9,3,6,17,9,12,10
122,1,2,122,48,15,7,2,8,9,11,7,11
123,1,3,123,44,16,3,4,10,7,6,8,9
124,1,4,124,53,14,3,1,10,11,10,12,9
125,1,5,125,56,16,5,3,5,14,13,10,11
126,1,6,126,49,19,2,3,12,10,4,7,13
127,1,7,127,54,12,8,2,8,12,7,17,8
128,1,8,128,54,15,6,2,16,6,7,15,8
129,1,9,129,58,17,2,1,10,5,11,15,16
130,1,10,130,73,10,3,1,12,13,13,18,16
131,1,11,131,70,20,5,4,16,9,12,15,14
132,1,12,132,72,14,8,4,14,14,16,14,10
133,1,13,133,76,12,7,2,15,15,11,17,16
134,1,14,134,74,15,9,1,22,14,11,19,7
135,1,15,135,80,16,2,4,17,16,19,16,8
136,1,16,136,85,16,4,4,16,18,16,17,14
137,1,17,137,84,17,4,3,20,19,17,12,13
138,1,18,138,76,14,5,4,14,16,11,16,15
139,1,19,139,73,18,4,2,20,14,10,19,8
140,1,20,140,74,17,6,3,16,15,11,13,16
141,1,21,141,69,13,6,1,12,12,18,12,14
142,1,22,142,64,18,9,2,12,17,12,15,6
143,1,23,143,58,15,7,4,7,5,19,13,10
144,1,24,144,59,19,7,3,20,7,13,8,8
145,1,1,145,54,11,7,4,8,9,18,6,9
146,1,2,146,51,18,2,1,13,9,10,6,12
147,1,3,147,50,18,3,1,8,7,4,14,16
148,1,4,148,50,17,4,4,8,11,5,8,14
149,1,5,149,46,19,8,3,11,14,7,6,5
150,1,6,150,48,17,5,1,6,11,12,10,8
151,1,7,151,46,21,8,2,14,9,4,9,8
152,1,8,152,58,14,7,3,12,13,10,11,9
153,1,9,153,66,15,8,3,13,15,13,8,14
154,1,10,154,68,13,7,4,13,12,15,12,12
155,1,11,155,68,15,6,4,12,10,9,18,15
156,1,12,156,69,15,3,4,11,10,18,15,11
157,1,13,157,74,14,6,4,18,18,11,12,11
158,1,14,158,76,19,4,1,17,15,10,17,16
159,1,15,159,80,12,4,2,10,19,17,18,14
160,1,16,160,79,12,4,2,13,14,19,15,16
161,1,17,161,81,19,6,3,15,20,11,14,18
162,1,18,162,77,14,4,1,11,22,12,14,17
163,1,19,163,71,17,7,4,14,10,13,18,12
164,1,20,164,77,15,7,4,14,17,8,16,18
165,1,21,165,64,19,6,4,20,10,11,8,11
166,1,22,166,61,16,7,2,13,8,13,12,13
167,1,23,167,58,12,5,2,13,15,6,14,8
168,1,24,168,55,9,6,1,10,8,12,15,9
169,2,1,1,56,14,5,4,14,10,8,9,11
170,2,2,2,52,13,5,3,7,12,7,9,14
171,2,3,3,48,14,7,3,7,14,6,12,6
172,2,4,4,50,8,4,1,7,12,9,10,11
173,2,5,5,56,22,6,4,12,17,7,9,7
174,2,6,6,52,19,5,4,7,8,12,9,12
175,2,7,7,54,17,7,4,10,9,5,14,12
176,2,8,8,59,16,7,1,12,14,7,10,15
177,2,9,9,58,15,8,3,13,10,7,9,16
178,2,10,10,73,16,3,0,15,18,12,18,10
179,2,11,11,73,11,4,4,15,9,14,18,13
180,2,12,12,71,8,3,4,12,12,15,10,18
181,2,13,13,77,16,5,3,16,14,13,22,9
182,2,14,14,72,17,5,1,15,15,11,15,15
183,2,15,15,80,15,6,3,17,14,17,13,16
184,2,16,16,80,18,3,4,9,20,15,14,18
185,2,17,17,81,17,3,3,16,18,12,15,17
186,2,18,18,76,14,1,4,16,15,15,15,11
187,2,19,19,79,10,3,4,14,18,17,13,13
188,2,20,20,69,11,5,4,14,16,8,13,14
189,2,21,21,72,13,6,3,11,11,12,21,14
190,2,22,22,63,15,13,3,10,15,14,8,13
191,2,23,23,55,16,3,1,14,13,7,11,9
192,2,24,24,55,13,6,3,11,6,18,9,8
193,2,1,25,59,19,8,3,8,14,12,10,12
194,2,2,26,46,20,5,4,7,9,6,12,8
195,2,3,27,46,15,7,2,12,9,6,9,8
196,2,4,28,50,15,4,1,13,13,7,11,5
197,2,5,29,47,12,7,4,14,9,5,6,9
198,2,6,30,50,19,4,2,13,8,10,4,13
199,2,7,31,51,20,3,3,6,14,10,8,10
200,2,8,32,59,15,3,4,12,13,9,10,11
201,2,9,33,60,10,6,4,14,5,15,13,9
202,2,10,34,68,16,8,2,16,8,11,15,16
203,2,11,35,64,15,5,4,18,12,17,7,6
204,2,12,36,77,16,5,3,16,15,16,12,15
205,2,13,37,78,15,4,4,16,16,12,15,15
206,2,14,38,78,12,3,3,20,19,15,12,9
207,2,15,39,81,13,9,4,13,15,16,21,12
208,2,16,40,78,13,5,1,16,14,12,18,17
209,2,17,41,77,12,3,3,7,17,15,26,9
210,2,18,42,83,14,4,4,12,12,14,27,14
211,2,19,43,75,17,7,4,11,10,14,19,17
212,2,20,44,69,11,4,4,8,16,15,8,18
213,2,21,45,70,15,3,4,12,12,11,16,15
214,2,22,46,65,16,2,4,11,9,11,19,11
215,2,23,47,63,14,5,2,14,11,10,15,11
216,2,24,48,55,13,4,4,13,11,7,12,8
217,2,1,49,51,18,8,1,11,14,6,12,7
218,2,2,50,48,16,4,3,6,12,6,8,13
219,2,3,51,46,12,7,1,6,9,10,6,14
220,2,4,52,51,15,8,1,5,13,10,10,12
221,2,5,53,51,16,2,4,10,8,15,9,5
222,2,6,54,54,14,3,4,9,12,13,8,8
223,2,7,55,55,17,6,1,4,19,8,11,12
224,2,8,56,55,16,6,2,11,13,8,12,9
225,2,9,57,67,16,3,4,15,10,11,12,15
226,2,10,58,64,13,5,0,10,15,18,10,11
227,2,11,59,63,20,0,4,7,15,13,13,11
228,2,12,60,75,14,6,2,13,17,17,13,13
229,2,13,61,74,13,6,4,16,9,13,13,19
230,2,14,62,77,18,4,4,14,14,11,15,19
231,2,15,63,79,15,4,4,15,16,11,10,23
232,2,16,64,81,11,4,1,14,18,19,16,13
233,2,17,65,76,17,5,2,11,14,13,18,18
234,2,18,66,77,12,6,3,15,9,17,16,17
235,2,19,67,75,12,4,3,13,16,11,15,17
236,2,20,68,76,15,4,2,12,17,15,11,19
237,2,21,69,66,15,6,4,10,10,18,11,13
238,2,22,70,63,16,6,2,18,11,10,6,16
239,2,23,71,64,13,6,4,13,9,12,9,17
240,2,24,72,59,14,6,3,12,14,10,7,13
241,2,1,73,54,15,5,2,11,10,10,9,12
242,2,2,74,49,17,6,3,4,9,14,13,6
243,2,3,75,53,15,1,3,6,4,15,12,13
244,2,4,76,49,19,5,3,8,10,6,9,13
245,2,5,77,50,14,7,0,16,8,10,10,6
246,2,6,78,51,17,5,1,11,10,8,11,10
247,2,7,79,54,16,6,3,15,8,10,9,9
248,2,8,80,59,16,3,1,7,13,13,8,17
249,2,9,81,60,17,7,2,8,13,13,9,15
250,2,10,82,57,19,1,3,6,16,10,10,12
251,2,11,83,67,17,5,4,10,12,15,9,17
252,2,12,84,72,13,6,4,11,6,21,20,10
253,2,13,85,76,12,3,3,13,13,16,18,13
254,2,14,86,76,10,10,4,11,13,14,16,18
255,2,15,87,75,15,2,2,16,15,8,15,19
256,2,16,88,82,12,2,3,20,15,14,16,14
257,2,17,89,82,12,6,4,14,21,8,16,19
258,2,18,90,73,19,5,4,18,10,16,11,14
259,2,19,91,75,13,0,4,21,13,11,14,12
260,2,20,92,70,11,7,0,14,10,16,18,12
261,2,21,93,69,16,4,4,16,17,13,8,11
262,2,22,94,63,16,7,2,8,14,7,13,19
263,2,23,95,56,14,1,2,10,11,13,11,9
264,2,24,96,60,13,5,2,13,11,14,9,11
265,2,1,97,55,14,7,4,14,10,3,13,11
266,2,2,98,50,13,4,1,8,14,11,9,7
267,2,3,99,46,15,4,3,6,14,6,7,10
268,2,4,100,45,14,4,4,10,9,5,6,11
269,2,5,101,49,14,3,2,6,14,9,12,6
270,2,6,102,45,17,5,1,12,12,6,9,5
271,2,7,103,59,15,7,1,9,10,10,14,15
272,2,8,104,55,13,4,2,8,17,7,10,11
273,2,9,105,60,14,3,0,13,11,16,11,9
274,2,10,106,63,14,4,1,15,14,8,17,8
275,2,11,107,69,8,0,3,13,18,14,14,7
276,2,12,108,75,14,5,3,13,13,15,16,15
277,2,13,109,67,18,2,4,16,16,11,12,8
278,2,14,110,80,14,6,4,15,10,15,18,18
279,2,15,111,79,11,7,3,10,15,13,19,19
280,2,16,112,83,14,4,4,19,18,8,16,18
281,2,17,113,81,14,4,2,20,14,18,11,16
282,2,18,114,73,18,8,4,14,10,14,13,18
283,2,19,115,72,14,8,2,20,10,20,11,9
284,2,20,116,76,13,6,2,13,17,17,16,11
285,2,21,117,71,17,5,2,13,14,12,15,15
286,2,22,118,64,12,9,4,17,4,18,8,13
287,2,23,119,62,12,7,2,8,14,17,9,12
288,2,24,120,55,13,4,0,10,10,13,13,9
289,2,1,121,56,17,4,3,11,8,9,16,9
290,2,2,122,50,14,3,4,13,9,9,9,6
291,2,3,123,47,15,5,3,13,7,7,3,14
292,2,4,124,49,15,5,0,9,14,9,8,9
293,2,5,125,49,14,8,4,7,14,15,5,4
294,2,6,126,53,14,6,3,13,6,15,9,7
295,2,7,127,52,17,4,3,9,13,9,5,13
296,2,8,128,56,16,7,4,9,12,6,15,10
297,2,9,129,68,11,6,4,12,14,11,12,15
298,2,10,130,67,17,9,4,13,10,9,14,17
299,2,11,131,68,18,6,2,15,13,11,10,17
300,2,12,132,73,13,3,3,16,18,12,9,15
301,2,13,133,72,16,5,1,11,16,16,13,15
302,2,14,134,82,8,9,4,11,15,20,19,13
303,2,15,135,79,15,5,4,14,16,15,13,17
304,2,16,136,83,13,6,2,11,9,22,20,19
305,2,17,137,82,15,3,3,27,8,14,15,15
306,2,18,138,80,17,6,2,15,19,21,12,11
307,2,19,139,78,13,3,3,21,11,20,9,14
308,2,20,140,75,13,6,4,10,14,14,14,19
309,2,21,141,75,16,6,2,14,11,22,13,13
310,2,22,142,66,17,6,4,7,13,7,21,14
311,2,23,143,62,18,6,4,13,17,7,11,10
312,2,24,144,51,22,8,1,6,11,12,12,9
313,2,1,145,52,9,3,3,11,9,9,12,8
314,2,2,146,47,20,5,1,9,10,12,8,7
315,2,3,147,50,19,5,4,9,9,7,5,16
316,2,4,148,51,15,9,4,15,7,7,7,11
317,2,5,149,51,13,5,2,10,10,14,6,9
318,2,6,150,47,18,8,0,13,13,7,5,9
319,2,7,151,57,18,6,0,9,11,9,14,14
320,2,8,152,59,14,6,1,13,6,14,12,13
321,2,9,153,60,24,3,3,7,11,16,11,12
322,2,10,154,61,12,5,3,11,13,11,10,13
323,2,11,155,69,11,2,2,12,20,9,10,16
324,2,12,156,74,9,8,4,15,14,12,13,16
325,2,13,157,79,13,6,4,11,13,18,17,16
326,2,14,158,76,15,7,1,16,15,13,17,14
327,2,15,159,78,21,3,3,19,14,13,20,9
328,2,16,160,78,14,6,2,11,16,14,12,23
329,2,17,161,81,14,6,3,17,16,24,8,13
330,2,18,162,78,12,5,4,14,16,14,19,11
331,2,19,163,75,12,4,1,14,18,20,8,14
332,2,20,164,70,17,4,4,13,14,6,19,14
333,2,21,165,71,13,1,4,10,19,12,16,10
334,2,22,166,67,15,4,2,14,9,14,17,11
335,2,23,167,63,16,5,1,13,13,12,8,16
336,2,24,168,52,16,3,1,12,8,11,7,13
337,3,1,1,55,15,7,2,13,12,7,10,11
338,3,2,2,53,14,6,1,13,10,7,13,9
339,3,3,3,50,18,5,4,9,7,12,7,11
340,3,4,4,50,17,8,2,14,7,17,5,5
341,3,5,5,53,20,6,4,7,5,14,12,11
342,3,6,6,53,11,5,4,11,7,8,13,10
343,3,7,7,57,9,6,2,10,18,7,12,8
344,3,8,8,62,16,4,1,12,12,12,12,13
345,3,9,9,64,12,8,3,9,8,14,16,14
346,3,10,10,66,11,3,2,11,10,13,17,13
347,3,11,11,70,11,6,2,13,16,9,13,17
348,3,12,12,73,11,7,1,14,15,16,17,10
349,3,13,13,78,15,7,2,12,22,13,11,18
350,3,14,14,79,18,4,1,18,15,18,11,16
351,3,15,15,81,18,4,2,14,14,13,20,18
352,3,16,16,80,12,8,2,16,16,11,15,20
353,3,17,17,79,16,3,4,17,18,10,18,12
354,3,18,18,80,15,6,4,18,22,10,12,14
355,3,19,19,75,11,6,4,14,16,11,16,14
356,3,20,20,70,14,5,2,13,12,16,18,9
357,3,21,21,68,19,5,3,18,17,12,10,8
358,3,22,22,66,14,5,1,15,10,11,14,15
359,3,23,23,59,14,4,3,13,8,14,12,9
360,3,24,24,62,21,4,2,11,13,14,14,8
361,3,1,25,53,19,8,4,12,9,9,11,8
362,3,2,26,48,19,4,4,7,13,9,9,6
363,3,3,27,58,15,7,2,15,10,15,8,8
364,3,4,28,48,17,4,3,10,8,12,8,7
365,3,5,29,55,17,7,0,7,8,14,12,14
366,3,6,30,53,17,7,1,14,10,7,12,9
367,3,7,31,55,18,4,2,12,6,13,11,11
368,3,8,32,55,15,4,3,16,8,11,7,10
369,3,9,33,61,10,7,2,12,14,10,10,13
370,3,10,34,62,19,5,4,12,16,10,7,13
371,3,11,35,71,20,2,4,12,14,17,8,16
372,3,12,36,72,16,8,3,11,18,15,14,11
373,3,13,37,76,23,5,2,17,13,15,18,11
374,3,14,38,85,17,3,1,18,21,13,16,16
375,3,15,39,77,13,4,0,14,19,19,15,10
376,3,16,40,76,12,3,3,19,15,17,9,13
377,3,17,41,78,17,4,3,15,21,15,8,16
378,3,18,42,80,15,3,2,17,16,10,16,19
379,3,19,43,81,18,1,4,19,11,14,18,15
380,3,20,44,71,18,3,1,11,20,6,13,20
381,3,21,45,71,16,8,1,12,16,14,11,17
382,3,22,46,63,17,2,4,9,9,14,15,12
383,3,23,47,61,19,3,3,8,12,11,13,14
384,3,24,48,51,13,3,3,15,9,9,6,9
385,3,1,49,49,14,3,1,9,13,11,7,8
386,3,2,50,54,13,5,4,12,7,14,12,5
387,3,3,51,53,18,6,0,12,16,11,5,9
388,3,4,52,52,8,8,1,13,10,9,8,11
389,3,5,53,51,15,6,1,10,11,9,9,11
390,3,6,54,43,17,4,1,11,8,10,6,7
391,3,7,55,51,12,4,2,13,11,7,7,11
392,3,8,56,52,15,6,3,13,12,6,8,10
393,3,9,57,61,9,5,2,16,9,18,8,8
394,3,10,58,64,12,4,2,19,15,9,12,7
395,3,11,59,71,16,6,3,11,18,13,12,14
396,3,12,60,77,20,4,0,15,20,17,13,12
397,3,13,61,79,12,5,4,11,12,14,21,17
398,3,14,62,79,14,8,1,22,16,13,10,17
399,3,15,63,85,13,7,3,10,19,16,21,16
400,3,16,64,79,13,7,4,15,19,20,12,9
401,3,17,65,83,14,9,1,17,18,16,17,14
402,3,18,66,76,15,6,2,12,15,13,13,21
403,3,19,67,77,14,3,4,15,10,15,18,15
404,3,20,68,75,13,4,3,13,20,14,12,13
405,3,21,69,70,15,5,3,16,13,12,14,12
406,3,22,70,62,12,3,3,9,13,16,14,7
407,3,23,71,61,18,7,3,5,11,13,15,14
408,3,24,72,60,17,6,3,6,10,19,9,13
409,3,1,73,56,16,6,2,12,17,5,10,10
410,3,2,74,59,15,7,3,16,6,13,9,12
411,3,3,75,52,16,5,4,12,9,9,11,7
412,3,4,76,50,21,6,3,10,5,15,9,8
413,3,5,77,45,9,5,4,9,11,7,6,8
414,3,6,78,50,13,5,3,9,10,9,13,6
415,3,7,79,50,16,4,3,11,5,9,12,10
416,3,8,80,62,16,7,4,13,8,13,14,10
417,3,9,81,60,17,5,4,8,7,12,16,13
418,3,10,82,61,17,5,3,12,8,18,12,8
419,3,11,83,69,17,5,4,13,16,9,18,9
420,3,12,84,72,12,10,4,16,16,12,14,10
421,3,13,85,78,9,3,2,8,10,20,14,24
422,3,14,86,79,17,6,3,17,13,18,14,14
423,3,15,87,81,19,4,2,16,14,15,21,13
424,3,16,88,80,13,5,3,16,21,18,12,10
425,3,17,89,81,14,4,2,16,13,20,15,15
426,3,18,90,73,14,8,4,17,18,19,2,13
427,3,19,91,71,12,2,2,15,9,16,19,10
428,3,20,92,72,10,5,3,17,14,13,12,13
429,3,21,93,68,14,8,3,16,7,16,13,13
430,3,22,94,60,17,7,2,9,12,17,17,3
431,3,23,95,64,14,4,3,11,9,12,11,18
432,3,24,96,57,18,5,4,16,13,11,8,5
433,3,1,97,52,14,4,4,12,10,13,8,5
434,3,2,98,52,18,2,3,15,6,9,13,6
435,3,3,99,52,15,5,3,10,10,8,9,12
436,3,4,100,44,17,5,1,9,9,4,9,12
437,3,5,101,52,12,1,1,11,11,8,8,13
438,3,6,102,52,8,5,4,15,10,7,10,6
439,3,7,103,56,18,2,4,8,9,16,6,13
440,3,8,104,59,14,2,3,9,14,8,14,11
441,3,9,105,57,20,5,0,13,11,11,10,12
442,3,10,106,68,19,8,3,12,10,20,13,10
443,3,11,107,71,10,5,4,13,15,11,16,12
444,3,12,108,77,21,4,3,18,13,15,13,15
445,3,13,109,73,12,4,3,21,16,10,12,11
446,3,14,110,80,19,8,4,17,17,10,14,18
447,3,15,111,77,17,2,2,11,16,13,16,19
448,3,16,112,77,15,2,4,22,13,15,8,15
449,3,17,113,83,17,1,3,21,14,14,19,12
450,3,18,114,76,13,4,2,17,15,16,10,16
451,3,19,115,77,17,7,2,18,7,14,22,14
452,3,20,116,72,12,0,1,8,12,23,13,15
453,3,21,117,71,18,2,4,16,14,11,17,9
454,3,22,118,63,16,2,3,13,12,13,10,12
455,3,23,119,62,17,3,4,10,9,14,15,10
456,3,24,120,59,9,5,4,13,9,9,15,9
457,3,1,121,45,11,5,1,6,9,9,11,9
458,3,2,122,51,14,5,2,7,13,11,10,8
459,3,3,123,46,13,3,3,7,8,10,8,10
460,3,4,124,54,9,5,4,11,13,17,2,7
461,3,5,125,52,15,7,3,12,10,8,9,10
462,3,6,126,51,12,4,4,13,6,13,7,8
463,3,7,127,56,16,6,4,13,10,7,12,10
464,3,8,128,58,15,6,3,11,8,7,16,13
465,3,9,129,59,22,6,0,9,19,12,9,10
466,3,10,130,69,16,6,2,11,14,13,20,9
467,3,11,131,74,11,6,3,11,18,10,13,19
468,3,12,132,75,19,3,2,22,13,13,11,14
469,3,13,133,79,18,6,4,14,11,21,15,14
470,3,14,134,78,11,5,4,12,13,21,13,15
471,3,15,135,78,18,7,4,21,13,8,20,12
472,3,16,136,83,16,6,1,14,16,15,14,23
473,3,17,137,78,13,9,3,12,13,18,21,11
474,3,18,138,78,17,5,4,13,16,14,17,14
475,3,19,139,75,15,7,2,16,12,14,15,16
476,3,20,140,69,14,4,2,13,12,14,15,13
477,3,21,141,70,20,5,1,16,13,17,13,10
478,3,22,142,64,18,4,4,13,12,13,12,10
479,3,23,143,60,12,7,3,15,12,11,7,12
480,3,24,144,62,17,6,4,7,19,8,13,11
481,3,1,145,52,16,9,1,6,11,10,11,13
482,3,2,146,48,22,5,2,5,6,12,8,15
483,3,3,147,47,11,9,2,4,13,14,9,5
484,3,4,148,50,16,5,3,7,12,7,14,7
485,3,5,149,54,14,4,1,11,13,10,12,7
486,3,6,150,52,15,5,3,7,12,11,10,9
487,3,7,151,50,17,3,2,9,10,14,12,3
488,3,8,152,51,14,6,3,5,13,13,11,6
489,3,9,153,59,16,3,4,10,15,11,12,7
490,3,10,154,69,12,8,3,17,16,19,10,4
491,3,11,155,70,12,8,3,14,13,10,21,9
492,3,12,156,70,20,4,2,13,14,9,14,18
493,3,13,157,76,14,8,4,17,14,20,10,11
494,3,14,158,76,16,5,4,20,14,12,16,10
495,3,15,159,79,19,4,3,17,15,14,16,14
496,3,16,160,82,18,8,4,15,16,17,16,14
497,3,17,161,82,15,10,4,16,20,17,13,12
498,3,18,162,79,18,5,1,12,20,16,17,13
499,3,19,163,73,21,4,4,10,16,18,9,16
500,3,20,164,74,11,8,1,20,13,10,18,12
501,3,21,165,68,13,7,3,16,13,10,14,12
502,3,22,166,62,15,7,4,11,9,14,10,14
503,3,23,167,58,12,4,3,13,9,8,11,14
504,3,24,168,56,15,7,1,13,11,13,10,8
505,4,1,1,54,15,6,1,15,10,10,12,6
506,4,2,2,51,20,6,1,11,11,7,9,12
507,4,3,3,40,13,3,2,12,4,5,10,7
508,4,4,4,48,16,4,1,9,9,6,14,9
509,4,5,5,55,18,8,0,6,11,16,11,11
510,4,6,6,47,13,7,1,12,9,4,15,6
511,4,7,7,57,15,6,3,15,5,12,9,13
512,4,8,8,59,20,7,4,12,13,5,12,13
513,4,9,9,61,8,3,3,9,13,11,11,14
514,4,10,10,69,16,6,4,11,7,10,19,18
515,4,11,11,66,13,3,2,15,16,7,11,15
516,4,12,12,72,16,0,4,10,10,20,9,19
517,4,13,13,75,11,7,4,13,9,22,12,15
518,4,14,14,80,15,5,1,12,13,22,19,13
519,4,15,15,82,15,4,3,15,14,16,16,18
520,4,16,16,89,15,6,1,14,17,25,19,13
521,4,17,17,79,16,7,4,11,10,21,13,20
522,4,18,18,81,18,5,2,21,11,13,20,14
523,4,19,19,81,17,7,3,14,20,12,19,13
524,4,20,20,73,16,10,4,15,16,13,16,9
525,4,21,21,69,19,6,0,13,10,15,17,14
526,4,22,22,69,13,2,2,18,10,12,17,10
527,4,23,23,57,18,3,2,9,11,10,11,14
528,4,24,24,60,16,2,3,10,11,11,10,15
529,4,1,25,52,17,0,2,12,12,6,11,9
530,4,2,26,51,13,7,3,10,14,12,4,8
531,4,3,27,49,11,7,2,7,8,10,7,15
532,4,4,28,54,13,7,3,8,10,15,14,4
